		
		
		
DESCRIPCION DEL PRODUCTO	STOCK	VENTA
CLORURO DE SODIO 100ML 0,9%	0	26
DOXIPROCT TUBO12GR POMADA RECTAL	0	1
METAMIZOL SODICO 1G/2ML AMPOLLA X25	0	0u3
OTOZAMBON SOLUCION OTICA X10ML	0	3
PREDNISONA JBE 5MG/5MLx60ML-P	0	1
FRUTI FLEX X 1LT	1	3
GASEOVET MS SUSPENSION 220ML	1	5
LIDOCAINA 2% FRASCO 20ML	1	3
AGUJA #18 CAJAX100UNID.	0u11	0u49
FLUIBRONCOL 600MG CAJAX20 SOBRES	0u13	0u5
VIVERA CAJAX8	0u2	1
EQUIPO DE VENOCLISIS 20GOT/ML  CAJAX25UN	0u3	0u12
ABOCAT#24 CAJAX50UNID	0u6	0u9
CEFTRIAXONA 1g AMP CAJAX1OUNID	0u6	0u18
PENICILINA PROCAIN 1000000 CAJAX10	0u6	0u11
LLAVE TRIPLE VIA CAJAX50UNID.	0u9	0u9
DOLO NEUROBION FORTE CAJAX3 AMPOLLAS	1u1	0u2
FLAGYL 500MG TABX20	1u19	2u10
REFLUPRAZOL 40MG X30TAB	2u5	0u100
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
