Columna1	Columna2	Columna3	Columna4	Columna5
14284	MASCARILLA NEBULIZADORA (ADULTO)	1	12	12
14803	UROFURIN 25MG/5ML SUSP X120ML	1	38	38
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	3	7	21
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	1	7	7
14948	CLORURO DE SODIO 0,9% X100ML	3	7	21
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	3	7	21
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	7	14
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	2	10	20
14948	CLORURO DE SODIO 0,9% X100ML	1	10	10
14948	CLORURO DE SODIO 0,9% X100ML	3	10	30
14968	VENDA ELASTICA 5X5	1	3	3
14968	VENDA ELASTICA 5X5	1	3	3
14979	GUANTES QUIRURGICO TALLA 7.5	1	5	5
14988	ABOCAT #20	1	5	5
14988	ABOCAT #20	1	5	5
14988	ABOCAT #20	1	5	5
14988	ABOCAT #20	1	5	5
15144	RX TOBILLO F y L C/LADO	1	60	60
15149	PERFIL DE COAGULACION	1	100	100
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	55	55
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15150	PERFIL LIPIDICO	1	45	45
15151	HORMONAL FEMENINO(FSH-LH ESTRADIOL)	1	200	200
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15163	HEMOGRAMA COMPLETO	1	25	25
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15174	CREATININA	1	15	15
15179	PERFIL HEPATICO	1	55	55
