			4/11/2022	
	CLINICA LOS ANGELES		09:48:25	
				
N°	DESCRIPCION DEL PRODUCTO	STOCK	VENTA	
1	ABOCAT#22 CAJAX50UNID	3u17	0u5	
2	ABOCAT#24 CAJAX50UNID	0u19	0u48	
3	ACICLAV AMOX+ACIDO CLAVULANICO 875+125	3u11	2u17	
4	AEROCAMARA PEDIATRICO	5	1	
5	AGUA ESTERIL PARA INYEC. CAJAX100 AMPOLL	2u84	0u4	
6	AGUJA #18 CAJAX100UNID.	0	0u319	
7	AGUJA #21 CAJAX100	0u86	0u6	
8	AGUJA #23 CAJAX100UNID.	2u44	0u4	
9	AGUJA #25 CAJAX100UNI.	3	0u1	
10	ALBENDAZOL 100MG/5ML  SUSPX20ML	2	2	
11	AMBROXOL PEDRIATICO 120ML JARABE	7	1	
12	AMOXIC+A.CLAV 250MG+62.5MG/5ML SUSP120ML	0	2	
13	AMOXICILINA 250MG/5ML SUSP60ML	5	5	
14	AMOXICILINA 500MG CAJAX100 TABLE	0	0u69	
15	ANEURIN 10,000 SOLUCION INYECTABLE	8	5	
16	ANEURIN 25 000 CAJA X 1AMPOLLAS	8	26	
17	ANTIGENO HISOPADO ENERO 2022	25	11	
18	ASCORBIC PROMOCION SETIEMBRE	0	23	
19	ASCORBIC-C + MATERIAL DE APLICACION	0	16	
20	ASSIS 400 SUSPX220ML	2	37	
21	ATORVASTATINA  10MG TABX100	1u19	0u90	
22	ATORVASTATINA 20MG TABX100	1u17	0u154	
23	AZITROMICINA 200MG/5ML POLV.PARA SUSP.	1	3	
24	AZITROMICINA 500MG CAJAX30 TABLETAS	4u26	0u15	
25	BENGUE 60GR DICLOFENACO GEL	0	3	
26	BISTURI #10 CAJAX100 UNIDADES	0u98	0u5	
27	BROMELIN 0,88GR SUSP ORALX100ML	0	19	
28	BRONCHO-VAXOM ADULTOS 7MG CAJAX30CAPS	0	0u8	
29	CADELIUS 600MG FRASCOX30COMPRIMIDOS	0	1	
30	CAPTOPRIL 25mg TABx100	1u56	0u1	
31	CARDIOASPIRINA 100MG CAJAX20COMPRIMIDOS	0u10	0u10	
32	CEFALOGEN 1GR IM CAJA X 1 INYECTABLE	11	1	
33	CEFTAZIDIMA 1G SOL.INYECTABLE	458	43	
34	CEFTRIAXONA 1g AMP CAJAX1OUNID	0u5	0u12	
35	CERT. MEDICO LLENADO	34	4	
36	CETIRIZINA JARAB 5MG/5ML JARABEX60ML	0	1	
37	CIPROFIBRATO 100MG CAPSULA CAJAX100	0u41	0u164	
38	CLARITROMICINA 250MX5ML-SUSP ORAL 50ML	4	1	
39	CLARITROMICINA 500MG CAJAX100	0	0u246	
40	CLENBUVENT JARABE   EXPECTORANTE	2	12	
41	CLONAZEPAM 0.5mg tabletax100	3u84	0u13	
42	CLORFENAMINA  2mg/5ML JARABE 120ML	0	1	
43	CLORFENAMINA 10MG/ML AMPOLL CAJX100	0u25	0u17	
44	CLORFENAMINA MALEATO 4MG TABX100	7u16	0u117	
45	CLORO ALERGAN 1MG/ML  GOTAS	1	1	
46	CLORO ALERGAN 2mg/5ml JARABE 120ML	3	15	
47	CLORURO DE SODIO 100ML 0,9%	1	29	
48	COLAG-HP POTE 420GR	5	10	
49	DEXACORT 4MG/2ML CAJAX1 AMPOLLA	0	89	
50	DEXAMETASONA 4MG/1ML AMPOLL CAJX100	0u37	0u2	
51	DEXAMETASONA 4mg TABx100	6u68	0u8	
52	DEXTROMETORFANO 15MG/5ML JARABE	5	2	
53	DICLOFENACO 1% GEL 50GR	10	6	
54	DICLOFENACO AMP 75MGx3ML CAJX100	0u70	0u100	
55	DOLO NEUROBION FORTE AMPOLLA	6	52	
56	DOLOKIDS JARABE	0	8	
57	DOLORAL - IBUPR100MG/5ML JARB60ML	8	4	
58	DUZELAST 137MCG+50MCG SPRAY NASALX120	0	1	
59	ELITON CIP 340ML	9	1	
60	ENALAPRIL 10MG CAJAX100	0u50	0u20	
61	ENDOVIT +MATERIAL APLICACION	2	4	
62	EQUIPO DE VENOCLISIS 20GOT/ML  CAJAX25UN	0u8	0u28	
63	EQUIPO MICROGOTERO CON VOLUTROL 100ML	7	2	
