DESCRIPCION	STOCK	INVENTARO 31/03	DIFERENCIA	OBSERVACIÓN
ACICLAV 500MG+125MG TAB	99	127	-28	OK, SE TRANSFIRIO 
ACICLAV 875MG+125MG TAB	32	60	-28	OK, VENTA Y TRANSFERENCIA
ACICLOVIR 400MG TAB	133	203	-70	OK, SE TRANSFIRIO 
ACIDO FOLICO 0.5MG TAB BLSTX10	4	4	0	
ACIDO FUSIDICO 2% CREMA X15G	3	3	0	
AERO-SIM 80MG/1ML GOTAS X15ML FRESA	8	8	0	
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE	23	31	-8	OK, VENTA
AFTOTEX SOLUCION SPRAY X30ML	4	4	0	
AGUA ESTERIL PARA INYEC.AMP	139	258	-119	HAY EXCEDENTE
AIRUM JAT SOL.ORAL X120ML	3	3	0	
ALBENDAZOL 200MG TAB	44	44	0	
ALERCHECK PLUS 10MG CAP	185	205	-20	OK, VENTA
ALERGIZINA D TAB	32	32	0	
ALERLIV 5MG TAB	13	13	0	
ALPRAZOLAM 0.5MG TAB	300	300	0	
AMBROXOL 30MG/5ML ADULTO JRBE X120ML	3	3	0	
AMIKACINA 500MG/2ML (IM/IV) AMP	65	98	-33	OK, VENTA
AMPICILINA 1G (IM/IV) AMP	10	10	0	
ASCORBIC PROMOCION	58	107	-49	OK, VENTA Y TRANSFERENCIA
ASSA 81MG TAB	8	8	0	
ATORVASTATINA 20MG TAB BLSTX10	36	48	-12	OK, VENTA
ATOS 15MG/5ML JRBE X120ML	5	7	-2	OK, TRANSFERENCIA
ATROPINA 0.50MG/1ML (IM/IV) AMP	10	10	0	
ATROPINA 1MG/1ML (IM/IV) AMP	1	0	1	FALTANTE
AZIMUT 200MG/5ML SUSP.ORAL X30ML	3	4	-1	OK, VENTA
AZITROMICINA 500MG TAB	13	25	-12	OK, VENTA
B12 ANKERMANN 1000ug TAB	56	56	0	
BACTAMOX 500MG TAB	334	336	-2	FALTANTE
BAGOLIFE CAP	30	30	0	
BANES 100MG/5ML SUSP.ORAL X60ML	30	30	0	
BANES FORTE 200MG/5ML SUSP.ORAL X60ML	1	2	-1	OK, VENTA
BENCILPENIC BENZATINICA 1200000 AMP	39	37	2	OBSERVACIÓN
BENCILPENIC PROCAINICA 1000000 AMP	101	118	-17	OBSERVACIÓN
BETACORT DEPOT 2 10MG+4MG/2ML AMP	5	6	-1	OK, VENTA
BETACORT DEPOT 5MG+2MG/1ML AMP	4	5	-1	OK, VENTA
BETAHISTINA 24MG TAB	44	45	-1	OBSERVACIÓN
BETAMETASONA 4MG/1ML AMP	15	19	-4	OK, VENTA
BIONIS 15MG/5ML SOL.ORAL X100ML	4	6	-2	
BISMOSAN SUSP X120ML	2	2	0	
BONACOXIB 90MG TAB	43	50	-7	
BONAZOL 40MG TAB	218	429	-211	
BROMELIN 0,88GR SUSP X100ML	62	69	-7	
BROMURO DE IPRATROPIO 20MCG/D AEROSOL	2	3	-1	
BRONCODEX COMPUESTO JRBE X120ML	3	6	-3	
CADELIUS 600MG/1000UL TAB X30	2	2	0	
CAPTOPRIL 25MG TAB BLSTX10	10	10	0	
CEFALEXINA 250MG/5ML SUSPX60ML	2	2	0	
CEFMARK 500MG CAP	36	136	-100	
CEFTRIAXONA 1G AMP	47	135	-88	
CELEPOXX 200MG CAP	310	330	-20	
C-FLOX 500MG TAB	100	100	0	
CIDOBEL 500MG CAP	164	194	-30	
CIFLOXDAN 200MG/100ML AMP X100ML	3	3	0	
CIPROFLOXACINO 500MG TAB BLSTX10	7	10	-3	
CLACIDOMOX 250MG+62.5MG/5ML X60ML	6	7	-1	
CLARIMED 250MG/5ML SUSP X60ML	6	6	0	
CLAVULAB 875MG+125MG TAB	98	105	-7	
CLAVUMOX 600 SUSP X100ML	1	98	-97	
CLAVUTRIM 250MG/5ML SUSP X60ML	9	1	8	
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML	4	9	-5	
CLENBUVENT EXPECT JRBE X120ML	24	4	20	
CLENBUVENT GOTAS X15ML	1	1	0	
CLERILAX 250MG TAB	10	10	0	
CLINDA C 300MG CAP	46	46	0	
CLINDAMICINA 600MG/4ML AMP	31	26	5	
CLOBULER 15MG/5ML JRBE X100ML	5	5	0	
CLOBULER DUO FORTE JRBE ADULTO X120ML	1	1	0	
CLONAZEPAM 0.5MG TAB	290	290	0	
CLORFEDAN 10MG/1ML (IM/IV) AMP	15	14	1	
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML	1	1	0	
CLORFENAMINA 4MG BLSTX10	10	10	0	
CLORURO DE SODIO 0,9% X100ML	768	633	135	
CLORURO DE SODIO 0,9% X250ML	159	166	-7	
CLORURO DE SODIO 20% AMP	9	10	-1	
