úZethQuark Versi¢n 7.0ú									6/01/2024
POL.LOS ANGELES	RE	P	ORTE	INVENTARIO	VALORIZADO	X LINEA MOSTRADOR			18:49:42
PRT282()									Pag.-    1
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
DESCRIPCION	STOCK			PV	ULTCOS	TOTAL PV	TOTAL ULTCOS	UTILIDAD	
----------------------------------------	------	-	----	-----------	-----------	------------------	----------------	-------------	---------------
FARMACOS									
--------									
ACICLOVIR 5%  CREMA5G	1			4.5	1.5	4.5	1.5	3	
ACIDO ACETILSALICILICO 100MG CAJA X 100	0	u	10	50	14.5	5	1.45	3.55	
ACIDO FOLICO 0.5mg tabletax100	0	u	30	30	8.5	9	2.55	6.45	
AGUA ESTERIL PARA INYEC. CAJAX100 AMPOLL	0	u	7	50	20	3.5	1.4	2.1	
ALBENDAZOL 200MG TABX100	0	u	18	100	18.5	18	3.33	14.67	
ALERCHECK PLUS 10MG CAPSULA/CAJAX30	0	u	18	45	8.5	27	5.1	21.9	
ALPRAZOLAM 0,5MG TABX200 V01/2023	0	u	185	100	18	92.5	16.65	75.85	
AMBROXOL ADULTO 30MG 5ML JARABE	2			9	5	18	10	8	
AMITRIPTILINA 25MG CAJAX100 TABLETAS	1			30	16	30	16	14	
AMLODIPINO 10MG TABX100	2			40	9	80	18	62	
AMOXICILINA 250MG/5ML SUSP60ML	2			8.5	4.8	17	9.6	7.4	
AMOXICILINA 500MG CAJAX100 TABLE	0	u	68	60	37	40.8	25.16	15.64	
ANEURIN 10,000 SOLUCION INYECTABLE	7			28	14	196	98	98	
ANEURIN 25 000 CAJA X 1AMPOLLAS	1			35	14	35	14	21	
ANTALGINA 500MG CAJAX100TABLETAS	0	u	27	70	20.99	18.9	5.67	13.23	
ASSIS 400 SUSPX220ML	5			30	19.8	150	99	51	
ATORVASTATINA  10MG TABX100	1	u	80	50	10	90	18	72	
ATORVASTATINA 20MG TABX100	0	u	30	60	18	18	5.4	12.6	
AZITROMICINA 200MG/5ML POLV.PARA SUSP.	3			12	7.5	36	22.5	13.5	
BRANDREX 150MG CAJAX1 TABLETA	2			80	51.3	160	102.6	57.4	
CAPTOPRIL 25mg TABx100	0	u	28	30	8	8.4	2.24	6.16	
CEFALEXINA 500MG CAJAX100 TABLETAS	0	u	73	80	43	58.4	31.39	27.01	
CEFTRIAXONA 1g AMP CAJAX1OUNID	1			80	30	80	30	50	
CETIRIZINA JARAB 5MG/5ML JARABEX60ML	3			9.5	5	28.5	15	13.5	
CILOSTAL 50MG X 30 TAB	1			150	116	150	116	34	
CIPROFIBRATO 100MG CAPSULA CAJAX100	0	u	2	320	240	6.4	4.8	1.6	
CIPROFLOXACINO 200MG/100ML AMPX100ML F	1			13.5	7	13.5	7	6.5	
CLARITROMICINA 500MG CAJAX100	0	u	50	180	80	90	40	50	
CLAVUMOX.12HRS 875MG/125MG X14TAB	1			90	55.9	90	55.9	34.1	
CLENBUVENT GOTAS 15ML	2			22	16	44	32	12	
CLINDAMICINA AMP 600MG/4ML  CAJAX25	0	u	22	150	85	132	74.8	57.2	
CLONAZEPAM 0.5mg tabletax100	0	u	31	80	27	24.8	8.37	16.43	
CLORFENAMINA 10MG/ML AMPOLL CAJX100	0	u	1	400	100	4	1	3	
CLORFENAMINA 2MG/5ML JARABE X120ML	3			7.5		22.5		22.5	
CLORFENAMINA MALEATO 4MG TABX100	0	u	20	30	4.5	6	0.9	5.1	
CLORURO DE SODIO 100ML 0,9%	10			7	3.8	70	38	32	
CLOTRIMAZOL 1% CRE 20g	1			6	2.2	6	2.2	3.8	
CODIPRONT EXP CAJAX10CAPSULAS	1			70	42	70	42	28	
DEQUAZOL ORAL CAJAX60TABLETAS	0	u	19	60	44	19	13.93	5.07	
DESTOLIT 5% LOCION X 100ML	1			50	45.5	50	45.5	4.5	
DEXAMETASONA 4MG/1ML AMPOLL CAJX100	0	u	6	400	46	24	2.76	21.24	
DICLOFENACO AMP 75MGx3ML CAJX100	0	u	19	400	42	76	7.98	68.02	
DIMENHIDRINATO 50MG/5ML AMPOLL CAJAX25	3	u	18	100	38	372	141.36	230.64	
DOBESILATO CALCICO 500MG TABX100	0	u	37	120	42	44.4	15.54	28.86	
DOLORAL - IBUPR100MG/5ML JARB60ML	3			16	12.4	48	37.2	10.8	
ENALAPRIL 10MG CAJAX100	0	u	70	20	5.2	14	3.64	10.36	
EPINEFRINA 1MG/ML CAJAX10AMPOLLAS	0	u	8	45	22	36	17.6	18.4	
ESOMEPRAZOL 40MG TABX30	4	u	9	30	18	129	77.4	51.6	
ETOROCOXIB 120MG TABX60	1			240	57.6	240	57.6	182.4	
EUTIROX 50MCG X 50TAB	0	u	3	50	32.28	3	1.94	1.06	
EYEMO COLIRIO 0.05% SOL.OFTALMICA X8ML	1			15	9	15	9	6	
FASTUM TUBO 30GR GEL	1			24	15.34	24	15.34	8.66	
FENAZOPIRIDINA 100mg TABLETA CAJA X 100	0	u	69	50	22	34.5	15.18	19.32	
FLAGYL 500MG TABX20	3	u	6	36	19.8	118.8	65.34	53.46	
FLUCONAZOL 150mg ANTIMICOTICO CAJAX2	1			4	1.2	4	1.2	2.8	
FUROSEMIDA AMP 20MGx2ML AMP X50	0	u	35	200	40	140	28	112	
GENTAMICINA  160MG/2ML AMPOLL CAJAX25	0	u	14	100	45	56	25.2	30.8	
GLIBENCLAMIDA 5MG CAJAX100TABLETAS	1	u	75	20	8	35	14	21	
GLUCOPHAGE  XR 750 MG X 30 TABLETAS	1	u	25	90	79.8	165	146.3	18.7	
HEPABIONTA DE 2ML CAJA X3 AMP	12			60		720		720	
HEPABIONTA GRAGEAS CAJAX200	0	u	45	500	306	112.5	68.85	43.65	
HIDROCLOROTIAZIDA 50MG TABX200	0	u	108	40	4.2	21.6	2.27	19.33	
HIDROCORTISONA 100MG AMPOLLA CAJAX10UNID	0	u	1	80	50	8	5	3	
HIDROCORTISONA 250MG AMPOLLA CAJAX10UNID	0	u	3	200	8	60	2.4	57.6	
KETESSE 25MG TABLETA CAJAX20	0	u	9	90	52	40.5	23.4	17.1	
KETESSE AMPOLLA CAJAX5	0	u	3	125	88.5	75	53.1	21.9	
KETOROLACO 60mg/2ML AMPOLL CAJAX25	0	u	5	125	42.5	25	8.5	16.5	
LACTULOSA 3.3/5ML X180ML	2			28.5		57		57	
LEVOFLOXACINO  500MG CAJAX100TABLETAS	0	u	56	200	65	112	36.4	75.6	
LIKFERR +MATERIAL DE APLICACION	2			40	28	80	56	24	
LORATADINA 10MG TABLX100	0	u	25	30	12	7.5	3	4.5	
LORATADINA JBE 5MG/5MLx60ML	2			9	4.5	18	9	9	
LOSARTAN  50mg CAJAX100TABLETAS	0	u	48	50	15	24	7.2	16.8	
MASCARILLA DE NEBULIZACION NINO	1			12	3.8	12	3.8	8.2	
MEBO TUBOX30GR	2			90	78	180	156	24	
MELOXICAM 15 MG CAJAX100	0	u	4	50	7.49	2	0.3	1.7	
METAMIZOL SODICO 1G/2ML AMPOLLA X25	0	u	8	100	45	32	14.4	17.6	
METRONIDAZOL 250MG/5ML SUSP 60ML	1			9	4.5	9	4.5	4.5	
