úZethQuark Versi¢n 7.0ú                                               12/07/2024
POL.LOS ANGELES                REGISTRO DE VENTAS                       15:12:39
PRT107()                  DEL 01/06/2024 AL 30/06/2024                Pag.-    1
--------------------------------------------------------------------------------
  FECHA        INTERNO      VENTAS    P.VENTA      P.COSTO     UTILIDAD     %
--------------------------------------------------------------------------------
01/06/2024 005872 - 005915    44     2,657.60     1,062.41     1,595.19  150.15%
03/06/2024 005916 - 005952    36     3,161.50     1,481.06     1,680.44  113.46%
04/06/2024 005953 - 006005    52     3,716.30     1,733.45     1,982.86  114.39%
05/06/2024 006006 - 006053    48     2,860.80     1,182.09     1,678.71  142.01%
06/06/2024 006054 - 006102    49     3,793.50     1,888.27     1,905.23  100.90%
07/06/2024 006103 - 006123    20     1,086.50       397.48       689.02  173.35%
08/06/2024 006124 - 006163    40     2,133.60       902.86     1,230.74  136.32%
10/06/2024 006164 - 006229    66     4,903.00     2,160.76     2,742.25  126.91%
11/06/2024 006230 - 006283    52     3,258.20     1,315.77     1,942.44  147.63%
12/06/2024 006284 - 006332    47     3,018.50     1,369.69     1,648.81  120.38%
13/06/2024 006333 - 006370    38     2,175.40       925.63     1,249.77  135.02%
14/06/2024 006371 - 006407    37     2,302.50       986.78     1,315.73  133.34%
15/06/2024 006408 - 006439    32     2,374.80       957.32     1,417.48  148.07%
17/06/2024 006440 - 006475    34     4,124.50     2,414.59     1,709.91   70.82%
18/06/2024 006476 - 006532    57     3,110.50     1,211.38     1,899.13  156.77%
19/06/2024 006533 - 006586    50     2,901.30     1,122.99     1,778.31  158.35%
20/06/2024 006587 - 006627    41     2,611.10     1,180.34     1,430.77  121.22%
21/06/2024 006628 - 006653    23       830.00       351.05       478.95  136.43%
22/06/2024 006654 - 006669    15       478.50       129.36       349.14  269.91%
24/06/2024 006670 - 006715    43     2,054.60     1,056.35       998.25   94.50%
25/06/2024 006716 - 006744    29     1,592.10       621.00       971.10  156.38%
26/06/2024 006745 - 006773    29     2,282.00       913.71     1,368.29  149.75%
27/06/2024 006774 - 006808    33     1,653.66       779.30       874.36  112.20%
28/06/2024 006810 - 006848    37     3,237.30     1,650.94     1,586.36   96.09%
29/06/2024 006849 - 006882    33     1,118.00       478.90       639.10  133.45%
--------------------------------------------------------------------------------
                             985    63,435.76    28,273.46    35,162.30  124.37%