úZethQuark	Versi¢n 7.0ú					27/	Jun-24
POL.LOS AN	GELES		REG	ISTRO DE VENTAS		1	09:49:19
PRT107()		DEL	01/0	6/2024 AL 27/06/	2024	Pag	.-    1
----------	----------------	----	----	----------------	----------	-------------	-------
FECHA	INTERNO	VE	NTAS	P.VENTA	P.COSTO	UTILIDAD	%
----------	----------------	----	----	----------------	----------	-------------	-------
1/06/2024	005872 - 005915		44	2,657.60	1,042.14	1,615.46	155.01%
3/06/2024	005916 - 005952		36	3,161.50	1,414.92	1,746.58	123.44%
4/06/2024	005953 - 006005		52	3,716.30	1,434.36	2,281.94	159.09%
5/06/2024	006006 - 006053		48	2,860.80	1,154.14	1,706.66	147.87%
6/06/2024	006054 - 006102		49	3,793.50	1,951.65	1,841.85	94.37%
7/06/2024	006103 - 006123		20	1,086.50	441.25	645.25	146.23%
8/06/2024	006124 - 006163		40	2,133.60	957.19	1,176.41	122.90%
10/06/2024	006164 - 006229		66	4,903.00	1,912.10	2,990.90	156.42%
11/06/2024	006230 - 006283		52	3,258.20	1,245.05	2,013.15	161.69%
12/06/2024	006284 - 006332		47	3,018.50	1,204.24	1,814.26	150.66%
13/06/2024	006333 - 006370		38	2,175.40	920.97	1,254.43	136.21%
14/06/2024	006371 - 006407		37	2,302.50	1,026.33	1,276.17	124.34%
15/06/2024	006408 - 006439		32	2,374.80	946.69	1,428.11	150.85%
17/06/2024	006440 - 006475		34	4,124.50	2,442.46	1,682.04	68.87%
18/06/2024	006476 - 006532		57	3,110.50	1,214.43	1,896.07	156.13%
19/06/2024	006533 - 006586		50	2,901.30	1,020.65	1,880.65	184.26%
20/06/2024	006587 - 006627		41	2,611.10	1,140.46	1,470.64	128.95%
21/06/2024	006628 - 006653		23	830	421.34	408.66	96.99%
22/06/2024	006654 - 006669		15	478.5	159.41	319.09	200.17%
24/06/2024	006670 - 006715		43	2,054.60	854.75	1,199.85	140.38%
25/06/2024	006716 - 006744		29	1,592.10	614.77	977.33	158.97%
26/06/2024	006745 - 006773		29	2,282.00	845.25	1,436.75	169.98%
27/06/2024	006774 - 006808		33	1,653.66	791.26	862.4	108.99%
----------	----------------	----	----	----------------	----------	-------------	-------
		9	15	59,080.46    2	5,155.80	33,924.66	134.86%
