úZethQuark Versi¢n 7.0ú                                               24/06/2024
POL.LOS ANGELES                REGISTRO DE VENTAS                       11:24:26
PRT107()                  DEL 01/06/2024 AL 22/06/2024                Pag.-    1
--------------------------------------------------------------------------------
  FECHA        INTERNO      VENTAS    P.VENTA      P.COSTO     UTILIDAD     %
--------------------------------------------------------------------------------
01/06/2024 005872 - 005915    44     2,657.60     1,045.52     1,612.08  154.19%
03/06/2024 005916 - 005952    36     3,161.50     1,415.70     1,745.80  123.32%
04/06/2024 005953 - 006005    52     3,716.30     1,433.77     2,282.53  159.20%
05/06/2024 006006 - 006053    48     2,860.80     1,157.52     1,703.28  147.15%
06/06/2024 006054 - 006102    49     3,793.50     1,952.36     1,841.14   94.30%
07/06/2024 006103 - 006123    20     1,086.50       441.25       645.25  146.23%
08/06/2024 006124 - 006163    40     2,133.60       954.88     1,178.72  123.44%
10/06/2024 006164 - 006229    66     4,903.00     1,910.95     2,992.05  156.57%
11/06/2024 006230 - 006283    52     3,258.20     1,246.74     2,011.46  161.34%
12/06/2024 006284 - 006332    47     3,018.50     1,207.63     1,810.87  149.95%
13/06/2024 006333 - 006370    38     2,175.40       920.97     1,254.43  136.21%
14/06/2024 006371 - 006407    37     2,302.50     1,026.33     1,276.17  124.34%
15/06/2024 006408 - 006439    32     2,374.80       945.78     1,429.02  151.09%
17/06/2024 006440 - 006475    34     4,124.50     2,439.27     1,685.23   69.09%
18/06/2024 006476 - 006532    57     3,110.50     1,214.43     1,896.07  156.13%
19/06/2024 006533 - 006586    50     2,901.30     1,021.75     1,879.55  183.95%
20/06/2024 006587 - 006627    41     2,611.10     1,138.19     1,472.91  129.41%
21/06/2024 006628 - 006653    23       830.00       419.06       410.94   98.06%
22/06/2024 006654 - 006669    15       478.50       158.07       320.43  202.71%
--------------------------------------------------------------------------------
                             781    51,498.10    22,050.17    29,447.93  133.55%