úZethQuark Versi¢n 7.0ú                                               08/07/2024
POL.LOS ANGELES                REGISTRO DE VENTAS                       09:00:02
PRT107()                  DEL 01/01/2024 AL 08/07/2024                Pag.-    1
--------------------------------------------------------------------------------
  FECHA        INTERNO      VENTAS    P.VENTA      P.COSTO     UTILIDAD     %
--------------------------------------------------------------------------------
05/01/2024 000001 - 000039    33     2,330.80       895.25     1,435.55  160.35%
06/01/2024 000040 - 000087    48     3,166.00     1,130.90     2,035.11  179.96%
08/01/2024 000088 - 000129    40     2,328.00       909.26     1,418.74  156.03%
09/01/2024 000130 - 000160    31     1,004.50       427.07       577.43  135.21%
10/01/2024 000161 - 000199    36     1,927.70       574.38     1,353.32  235.62%
11/01/2024 000200 - 000230    31     1,855.20       677.74     1,177.46  173.73%
12/01/2024 000231 - 000264    34     2,373.50       881.85     1,491.65  169.15%
13/01/2024 000265 - 000295    30     1,779.90       697.21     1,082.69  155.29%
15/01/2024 000296 - 000331    36     2,331.60       936.29     1,395.32  149.03%
16/01/2024 000332 - 000372    41     2,654.50       971.91     1,682.59  173.12%
17/01/2024 000373 - 000414    40     2,523.50       821.76     1,701.75  207.09%
18/01/2024 000415 - 000462    45     3,799.20     1,337.46     2,461.74  184.06%
19/01/2024 000463 - 000510    48     3,944.50     1,429.21     2,515.29  175.99%
20/01/2024 000511 - 000547    37     1,659.10       664.00       995.10  149.86%
22/01/2024 000548 - 000592    45     2,754.70     1,062.17     1,692.53  159.35%
23/01/2024 000593 - 000637    44     3,067.50     1,093.81     1,973.70  180.44%
24/01/2024 000638 - 000674    37     2,289.40       778.01     1,511.39  194.26%
25/01/2024 000675 - 000709    32     2,226.50       850.18     1,376.32  161.89%
26/01/2024 000710 - 000741    32     2,001.50       575.77     1,425.73  247.62%
27/01/2024 000742 - 000780    37     2,200.50       909.00     1,291.50  142.08%
29/01/2024 000781 - 000832    51     3,167.00     1,188.05     1,978.95  166.57%
30/01/2024 000833 - 000862    30     2,116.50       835.68     1,280.82  153.27%
31/01/2024 000863 - 000908    46     2,716.00       903.98     1,812.02  200.45%
01/02/2024 000909 - 000941    32     1,845.70       785.68     1,060.02  134.92%
02/02/2024 000942 - 000975    32     1,679.50       727.17       952.34  130.97%
03/02/2024 000976 - 001032    53     2,554.00     1,018.40     1,535.60  150.78%
05/02/2024 001033 - 001085    50     2,802.00     1,058.75     1,743.25  164.65%
06/02/2024 001086 - 001123    37     2,337.40       785.32     1,552.08  197.64%
07/02/2024 001124 - 001190    67     2,864.00     1,072.95     1,791.06  166.93%
