DESCRIPCION	STOCK	PV	ULTCOS	TOTAL PV	TOTAL ULTCOS        UTILIDAD
CITRAPOT POTE 300G NARANJA	3	75	40	225	120.00           105.00
COLAG HP 420GR VAINILLA	3	130	69	390	207.00           183.00
GENOGEL PLUS POTE X500G	3	130	75	390	225.00           165.00
GERIA CARE POTE X1000G	18	150	55	2,700.00	990.00         1,710.00
GLUCENIL D POTE X1000G	2	150	90	300	180.00           120.00
INSTAFIBRA X500G	1	90	62	90	62.00            28.00
NEUMOPUL POTE 500G VAINILLA	2	130	75	260	150.00           110.00
PROTEVIT KIDS POTE 1000G VAINILLA	1	150	90	150	90.00            60.00
SUMAQ MUJER POTE 500G AGUAJE	1	130	75	130	75.00            55.00
VITACARE POTE 1000G VAINILLA	2	150	90	300	180.00           120.00
VITAGEST 500GR VAINILLA	2	130	50	260	100.00           160.00
ZITRAT MG 300G PI¥A	3	75	45	225	135.00            90.00
