DESCRIPCION DEL PRODUCTO	VENTA
ABOCAT#24 CAJAX50UNID	0u31
ACETILCISTEINA GRANULOS 600MG X50 UND.	0u5
ACI BASIC SUS.ORAL 220ML.	7
ACICLOVIR 5%  CREMA5G	1
AGUJA #18 CAJAX100UNID.	0u330
AGUJA #21 CAJAX100	0u9
AGUJA #23 CAJAX100UNID.	0u9
AGUJA #25 CAJAX100UNI.	0u1
ALBENDAZOL 100MG/5ML  SUSPX20ML	4
AMBROXOL ADULTO 30MG 5ML JARABE	2
AMBROXOL PEDRIATICO 120ML JARABE	2
AMIKACINA 500MG AMPOLLA CAJAX25UNID.	0u76
AMOXIC.+AMBROX CLORH 250MG/15MG SUSP60ML	1
AMOXICILINA 250MG/5ML SUSP60ML	4
AMOXICILINA 500MG CAJAX100 TABLE	0u30
AMPICILINA 1G CAJAX10AMPOLLAS	0u1
ANEURIN 10,000 SOLUCION INYECTABLE	9
ANEURIN 25 000 CAJA X 1AMPOLLAS	11
ANTIGENO HISOPADO ENERO 2022	36
ASCORBIC-C + MATERIAL DE APLICACION	30
ASSA 81MG CAJAX100TABLETAS	0u30
ASSIS 400 SUSPX220ML	13
ATORVASTATINA 20MG TABX100	0u78
AZITROMICINA 200MG/5ML POLV.PARA SUSP.	7
AZITROMICINA 500MG CAJAX30 TABLETAS	0u33
BETAPLUSS 0.05% CREMA	1
BISTURI CAJAX100	0u4
BROMELIN 0,88GR SUSP ORALX100ML	9
BROMURO DE IPRATROPIO 20MCG AEROS/INHALA	3
BRONCO AMOXIDIN 250MG/150MG 60ML POLVO	2
BRONCO MEDIMOX 125 125MG/4MG POL	2
CADELIUS 600MG FRASCOX30COMPRIMIDOS	2
CAPTOPRIL 25mg TABx100	0u5
CEFALEXINA 250MG/5ML SUSPX60ML	1
CEFALEXINA 500MG CAJAX100 TABLETAS	0u5
CEFALOGEN 1GR IM CAJA X 1 INYECTABLE	13
CEFTRIAXONA 1g AMP CAJAX1OUNID	0u15
CELECOXPHARM CAPSULA CAJAX100	0u50
CETIRIZINA 10mg ANTIHISTAMINICO	0u107
CETIRIZINA JARAB 5MG/5ML JARABEX60ML	3
CIDOBEL 500MG CAPSULA CAJAX100	0u60
CIPROFIBRATO 100MG CAPSULA CAJAX100	0u96
CIPROFLOXACINO 500MG CAJAX100TABLETAS	0u56
CLARITROMICINA 500MG CAJAX100	0u80
CLENBUVENT JARABE   EXPECTORANTE	6
CLONAZEPAM 0.5mg tabletax100	0u32
CLORFENAMINA  2mg/ml JARABEX120ML	1
CLORFENAMINA 10MG/ML AMPOLL CAJX100	0u4
CLORFENAMINA MALEATO 4MG TABX100	0u17
CLORO ALERGAN 1MG/ML  GOTAS	6
CLORO ALERGAN 2mg/5ml JARABE 120ML	10
CLORURO DE SODIO 100ML 0,9%	17
CLOTRIMAZOL 1% CRE 20g	1
CODIPRONT EXP CAJAX10CAPSULAS	0u6
COLAG-HP POTE 420GR	3
COMBIZYM COMBIZYM CAJAX20GRAGEAS	0u10
DESTOLIT 5% LOCION X 10ML	1
DEXACORT 4MG/2ML CAJAX1 AMPOLLA	6
DEXAMETASONA 4MG/1ML AMPOLL CAJX100	0u32
DEXAMETASONA 4mg TABx100	0u94
DEXTROMETORFANO 15MG/5ML JARABE	6
DICLOFENACO 1% GEL 50GR	2
DICLOFENACO AMP 75MGx3ML CAJX100	0u84
DICLOFENACO TAB 50MG X100	0u22
DIMENHIDRINATO 50MG/5ML AMPOLL CAJAX25	0u1
DOBESILATO CALCICO 500MG TABX100	0u15
DOLO LIVIOLEX 9MG/5ML SUSPX60ML	15
DOLO NEUROBION FORTE AMPOLLA	17
DOLODRAN EXTRA FORTE 50MG/500MG TABX100	0u9
DOLORAL - IBUPR100MG/5ML JARB60ML	3
DOXIPROCT PLUS POMADA RECTAL	2
ENALAPRIL 10MG CAJAX100	0u20
EQUIPO DE VENOCLISIS 20GOT/ML  CAJAX25UN	0u13
EQUIPO MICROGOTERO CON VOLUTROL 100ML	3
ESPASMO ANTALGINA 250mg+10mg tableta 100	0u12
ESPASMO ANTALGINA AMPOLLA	2
ESPECULO TALLA L	3
ESPECULO TALLA M	4
ESPECULO TALLA S	6
FENAZOPIRIDINA 100mg TABLETA CAJA X 100	0u16
FLAGYL  125mg/5ml 120ML	1
FLAGYL 500MG TABX20	9u58
FLUCONAZOL 150mg ANTIMICOTICO CAJAX2	2u2
FLUIMAX 600MG POLVO PARA SOL.ORAL X30UND	0u10
FLUIMICAR 600MG CAJA X 20 TABLETAS	0u94
FRASCO DE HECES	106
FRASCO ORINA ESTERIL	123
FRUTI FLEX X 1LT	5
GASA ESTERIL  5X5 CAJAX20UNID	0u6
