úZethQuark Versi¢n 7.0ú                                               29/06/2024
POL.LOS ANGELES                REGISTRO DE VENTAS                       10:52:25
PRT107()                  DEL 01/06/2024 AL 28/06/2024                Pag.-    1
--------------------------------------------------------------------------------
  FECHA        INTERNO      VENTAS    P.VENTA      P.COSTO     UTILIDAD     %
--------------------------------------------------------------------------------
01/06/2024 005872 - 005915    44     2,657.60     1,028.94     1,628.66  158.28%
03/06/2024 005916 - 005952    36     3,161.50     1,469.92     1,691.58  115.08%
04/06/2024 005953 - 006005    52     3,716.30     1,483.66     2,232.64  150.48%
05/06/2024 006006 - 006053    48     2,860.80     1,116.14     1,744.66  156.31%
06/06/2024 006054 - 006102    49     3,793.50     1,934.45     1,859.05   96.10%
07/06/2024 006103 - 006123    20     1,086.50       420.05       666.45  158.66%
08/06/2024 006124 - 006163    40     2,133.60       930.69     1,202.91  129.25%
10/06/2024 006164 - 006229    66     4,903.00     1,984.70     2,918.30  147.04%
11/06/2024 006230 - 006283    52     3,258.20     1,319.65     1,938.55  146.90%
12/06/2024 006284 - 006332    47     3,018.50     1,216.64     1,801.86  148.10%
13/06/2024 006333 - 006370    38     2,175.40       845.97     1,329.43  157.15%
14/06/2024 006371 - 006407    37     2,302.50       967.63     1,334.87  137.95%
15/06/2024 006408 - 006439    32     2,374.80       973.49     1,401.31  143.95%
17/06/2024 006440 - 006475    34     4,124.50     2,372.96     1,751.54   73.81%
18/06/2024 006476 - 006532    57     3,110.50     1,169.73     1,940.77  165.91%
19/06/2024 006533 - 006586    50     2,901.30     1,087.65     1,813.65  166.75%
20/06/2024 006587 - 006627    41     2,611.10     1,065.96     1,545.14  144.95%
21/06/2024 006628 - 006653    23       830.00       363.34       466.66  128.43%
22/06/2024 006654 - 006669    15       478.50       139.41       339.09  243.23%
24/06/2024 006670 - 006715    43     2,054.60       852.75     1,201.85  140.94%
25/06/2024 006716 - 006744    29     1,592.10       545.37     1,046.73  191.93%
26/06/2024 006745 - 006773    29     2,282.00       867.65     1,414.35  163.01%
27/06/2024 006774 - 006808    33     1,653.66       789.86       863.80  109.36%
--------------------------------------------------------------------------------
                             915    59,080.46    24,946.60    34,133.86  136.83%