úZethQuark Versi¢n 7.0ú                                               28/06/2024
POL.LOS ANGELES                REGISTRO DE VENTAS                       19:06:15
PRT107()                  DEL 01/06/2024 AL 27/06/2024                Pag.-    1
--------------------------------------------------------------------------------
  FECHA        INTERNO      VENTAS    P.VENTA      P.COSTO     UTILIDAD     %
--------------------------------------------------------------------------------
01/06/2024 005872 - 005915    44     2,657.60     1,017.14     1,640.46  161.28%
03/06/2024 005916 - 005952    36     3,161.50     1,469.12     1,692.38  115.20%
04/06/2024 005953 - 006005    52     3,716.30     1,463.36     2,252.94  153.96%
05/06/2024 006006 - 006053    48     2,860.80     1,112.14     1,748.66  157.23%
06/06/2024 006054 - 006102    49     3,793.50     1,929.65     1,863.85   96.59%
07/06/2024 006103 - 006123    20     1,086.50       419.25       667.25  159.16%
08/06/2024 006124 - 006163    40     2,133.60       929.19     1,204.41  129.62%
10/06/2024 006164 - 006229    66     4,903.00     1,968.10     2,934.90  149.12%
11/06/2024 006230 - 006283    52     3,258.20     1,314.05     1,944.15  147.95%
12/06/2024 006284 - 006332    47     3,018.50     1,214.24     1,804.26  148.59%
13/06/2024 006333 - 006370    38     2,175.40       845.97     1,329.43  157.15%
14/06/2024 006371 - 006407    37     2,302.50       951.33     1,351.17  142.03%
15/06/2024 006408 - 006439    32     2,374.80       972.69     1,402.11  144.15%
17/06/2024 006440 - 006475    34     4,124.50     2,371.46     1,753.04   73.92%
18/06/2024 006476 - 006532    57     3,110.50     1,169.43     1,941.07  165.98%
19/06/2024 006533 - 006586    50     2,901.30     1,076.65     1,824.65  169.48%
20/06/2024 006587 - 006627    41     2,611.10     1,057.46     1,553.64  146.92%
21/06/2024 006628 - 006653    23       830.00       363.34       466.66  128.43%
22/06/2024 006654 - 006669    15       478.50       139.41       339.09  243.23%
24/06/2024 006670 - 006715    43     2,054.60       852.75     1,201.85  140.94%
25/06/2024 006716 - 006744    29     1,592.10       543.77     1,048.33  192.79%
26/06/2024 006745 - 006773    29     2,282.00       865.25     1,416.75  163.74%
27/06/2024 006774 - 006808    33     1,653.66       788.26       865.40  109.79%
--------------------------------------------------------------------------------
                             915    59,080.46    24,834.00    34,246.46  137.90%