úZethQuark Versi¢n 7.0ú                                          05/04/2025
POL.LOS ANGELESREPORTE DE PRODUCTOS X LABORATORIO  (SERVICIO)      13:07:45
PRT201()                                                         Pag.-    1
---------------------------------------------------------------------------
CODIGO            DESCRIPCION              LINEA          PVP  PxUNIDAD
---------------------------------------------------------------------------
18031 COLOCACION DE YESO                       SE      125.00          
16564 CONSTANCIA MEDICA                        S        15.00          
17395 EKG PROMOCION                            EL       55.00          
17724 MOVILIDAD DR BAYONA                      ZZ       25.00          
17725 MOVILIDAD DRA MAITA                      ZZ       25.00          
17799 RC PIELOGRAFIA S/C                       RX       80.00          
16101 RX ABDOMEN SIMPLE                        RX       80.00          
17790 RX ABDOMEN SIMPLE DE PIE                 RX       80.00          
17789 RX ABDOMEN SIMPLE Y CUBITO - PIE         RX      150.00          
17756 RX AGUJEROS OPTICOS C/LADO               RX       80.00          
15339 RX ANTEBRAZO F - L                       RX       60.00          
17757 RX ARCO CIGOMATICOS C/LADO               RX       80.00          
17758 RX ART.TEMPORO MAXILAR C/LADO (ATM)      RX       80.00          
17775 RX BRAZO COMPARATIVOS                    RX      110.00          
17774 RX BRAZO/HUMERO C/LADO                   RX       60.00          
15341 RX CADERA COMPARATIVA                    RX      160.00          
17771 RX CADERA COXOFEMORAL                    RX       80.00          
17770 RX CADERA PEDIATRICA                     RX      130.00          
15146 RX CALCANEO C/LADO                       RX       60.00          
16625 RX CALCANEO COMPARATIVOS                 RX      110.00          
15323 RX CAVUM (B.A-B.C)                       RX       70.00          
17798 RX CISTOGRAFIA PRE-POST MICCIONAL        RX      200.00          
15335 RX CLAVICULA                             RX       70.00          
17776 RX CODO C/LADO                           RX       60.00          
17777 RX CODO COMPARATIVO                      RX      110.00          
17794 RX COLON DOBLE CONTRASTE                 RX      340.00          
17795 RX COLON ENERMA OPACA DOBLE CONTRASTE    RX      340.00          
17766 RX COLUMNA CERVICAL F - L                RX       90.00          
15324 RX COLUMNA CERVICAL FUNCIONAL            RX      160.00          
17767 RX COLUMNA CERVICO DORSAL                RX      160.00          
15326 RX COLUMNA DORSAL F - L                  RX       80.00          
17768 RX COLUMNA DORSAL F-P-Os                 RX      170.00          
15327 RX COLUMNA DORSAL LUMBAR                 RX      180.00          
15328 RX COLUMNA LUMBAR F - L                  RX      100.00          
15329 RX COLUMNA LUMBAR FUNCIONAL              RX      180.00          
16930 RX COLUMNA LUMBAR SACRA F - L            RX      120.00          
17769 RX COLUMNA SACRO COXIGEA F - L           RX       80.00          
16854 RX COLUMNA TOTAL                         RX      270.00          
17788 RX CORAZON GRANDES VASOS C y GV CON/C    RX      260.00          
17787 RX CORAZON GRANDES VASOS C y GV SIN/C    RX      120.00          
17772 RX COXIS F - L                           RX       80.00          
15317 RX CRANEO F y L                          RX       80.00          
17800 RX CUERPO EXTRA¥O                        RX       80.00          
17801 RX EDAD OSEA                             RX       60.00          
17791 RX ESOFAGO C/CONTRASTE                   RX      180.00          
17786 RX ESTERNON F - L                        RX       80.00          
17792 RX ESTOMAGO DUODENO C/CONTRASTE          RX      280.00          
15142 RX FEMUR C/LADO                          RX       70.00          
