úZethQuark Versi¢n 7.0ú                                                                                                      22/03/2025
POL.LOS ANGELES                    REPORTE INVENTARIO VALORIZADO X LINEA (INSUMOS MEDICOS) MOSTRADOR                           13:25:09
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ABOCAT #20                                  27          5.00      1.60          135.00            43.20            91.80
ABOCAT #22                                  59          5.00      1.00          295.00            59.00           236.00
ABOCAT #24                                 299          5.00      1.18        1,495.00           352.82         1,142.18
AEROCAMARA (ADULTO)                         13         17.00      5.00          221.00            65.00           156.00
AEROCAMARA (PEDIATRICO)                     12         17.00      5.50          204.00            66.00           138.00
AGUJA #18                                  607          0.50      0.05          303.50            30.35           273.15
AGUJA #21                                  353          0.50      0.05          176.50            17.65           158.85
AGUJA #22                                  236          0.50      0.05          118.00            11.80           106.20
AGUJA #23                                   59          0.50      0.08           29.50             4.72            24.78
AGUJA #25                                  837          0.50      0.08          418.50            66.96           351.54
ALITAS #23 LARGO X30CM                      51          3.00      0.26          153.00            13.26           139.74
ALITAS #25 LARGO X30CM                      77          3.00      0.26          231.00            20.02           210.98
BATA DESCARTABLE                            30         12.00      3.50          360.00           105.00           255.00
BISTURI #10                                 16          2.00      0.15           32.00             2.40            29.60
BOLSA COLECTORA (ADULTO)                    15         10.00      2.20          150.00            33.00           117.00
CANULA BINASAL L (ADULTO)                   60          5.00      2.00          300.00           120.00           180.00
EQUIPO DE VENOCLISIS 20GOT/ML              207          4.00      0.60          828.00           124.20           703.80
EQUIPO MICROGOTERO CON VOLUTROL 100ML       25         15.00      2.20          375.00            55.00           320.00
ESPECULO TALLA L                             2          5.00      2.00           10.00             4.00             6.00
ESPECULO TALLA M                            12          5.00      2.17           60.00            26.04            33.96
ESPECULO TALLA S                            25          5.00      1.10          125.00            27.50            97.50
FRASCO PARA M.HECES                        298          1.50      0.30          447.00            89.40           357.60
FRASCO PARA M.ORINA                        366          1.50      0.33          549.00           120.78           428.22
FRUTI FLEX FRESA X1L                        12         12.00      6.50          144.00            78.00            66.00
FRUTTIPED FRESA X500ML                      20          9.00      5.20          180.00           104.00            76.00
GASA 10X10                                 102          3.00      0.60          306.00            61.20           244.80
GASA PARAFINADA ESTERIL 10X10 (JELNOT)      20          5.00      2.60          100.00            52.00            48.00
GUANTES QUIRURGICO TALLA 7.5                30          5.00      2.00          150.00            60.00            90.00
JERINGA 10ML                               186          1.00      0.16          186.00            29.76           156.24
JERINGA 1ML                                184          1.00      0.12          184.00            22.08           161.92
JERINGA 20ML                               138          1.00      0.30          138.00            41.40            96.60
JERINGA 3ML                                201          0.50      0.21          100.50            42.21            58.29
JERINGA 5ML                                105          1.00      0.14          105.00            14.70            90.30
LLAVE TRIPLE VIA                             5          5.00      0.80           25.00             4.00            21.00
MASCARILLA CON RESERVORIO (ADULTO)           1         20.00      7.00           20.00             7.00            13.00
MASCARILLA CON RESERVORIO (PEDIATRICO)       1         12.00      8.00           12.00             8.00             4.00
MASCARILLA NEBULIZADORA (ADULTO)            22         12.00      2.50          264.00            55.00           209.00
MASCARILLA NEBULIZADORA (PEDIATRICO)        23         12.00      2.50          276.00            57.50           218.50
NYLON #4                                    45          7.00      3.20          315.00           144.00           171.00
NYLON #5                                    54          7.00      3.66          378.00           197.64           180.36
SONDA FOLEX DE LATEX #14                     6         10.00      4.00           60.00            24.00            36.00
SONDA FOLEY DE LATEX #16                     8         12.00      5.00           96.00            40.00            56.00
SONDA NASOGASTRICA #14                      12         10.00      1.60          120.00            19.20           100.80
SUERO FISIOLOGICO X1000ML                   20         10.00      3.50          200.00            70.00           130.00
VENDA ELASTICA 5X5                           5          3.00      1.40           15.00             7.00             8.00
VENDA YESO 4X5                               6         18.00      4.00          108.00            24.00            84.00
---------------------------------------------------------------------------------------------------------------------------------------
T O T A L E S :                                                              10,498.50         2,620.79         7,877.71
---------------------------------------------------------------------------------------------------------------------------------------