úZethQuark Versi¢n 7.0ú                                               21/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 21/03/2025 AL 21/05/2025        18:17:40
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
A200                                          999              1           CLA
ABOCAT #20                                     19             10           FAB
ABOCAT #22                                     38             22           ELI
ABOCAT #24                                    316            139           CLA
ACICLAV 500MG+125MG TAB                        85             44           ELI
ACICLOVIR 400MG TAB                           203             32           ELI
ACICLOVIR 5% CREMA 5GR                          0              1           ELI
ACIDO FUSIDICO 2% CREMA X15G                    3              3           ELI
ADENOVIRUS HECES                             9999              1           FAB
AERO-SIM 80MG/1ML GOTAS X15ML FRESA             8              3           FAB
AEROCAMARA (ADULTO)                             8              3           FAB
AEROCAMARA (PEDIATRICO)                        10              2           FAB
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           34              6           CLA
AFP(CANCER DE HIGADO)                         985              1           ELI
AFTOTEX SOLUCION SPRAY X30ML                    4              3           CLA
AGLUTINACIONES                               8672             65           FAB
AGUA ESTERIL PARA INYEC.AMP                    60             87           FAB
AGUJA #18                                     717            741           CLA
AGUJA #21                                     349              4           CLA
AGUJA #22                                     228              8           FAB
AGUJA #23                                      33             16           CLA
ALBENDAZOL 200MG TAB                           48             10           CLA
ALBUMINA SUERO                                994              1           CLA
ALERCHECK PLUS 10MG CAP                       143            166           ELI
ALERGIZINA 5MG/5ML JRBE X60ML                   0              3           MAR
AMBROXOL 30MG/5ML ADULTO JRBE X120ML            3              1           CLA
AMIKACINA 500MG/2ML (IM/IV) AMP                88            117           CLA
AMILASA                                       936              1           ELI
ANEURIN 25 000 SOLUCION INYECTABLE              2              2           CLA
ASCORBIC PROMOCION                             44            106           CLA
ASO LATEX                                     975              1           CLA
ASSA 81MG TAB                                   8             20           CLA
ATORVASTATINA 20MG TAB BLSTX10                 28             12           ELI
AZIMUT 200MG/5ML SUSP.ORAL X30ML                7              2           CLA
AZITROMICINA 500MG TAB                         21             21           ELI
BACTAMOX 500MG TAB                            334             56           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                25             12           FAB
BATA DESCARTABLE                               28              2           CLA
BENCILPENIC BENZATINICA 1200000 AMP            39              3           ELI
BENCILPENIC PROCAINICA 1000000 AMP             42             77           FAB
BETAMETASONA 4MG/1ML AMP                        9             13           EFR
BIONIS 15MG/5ML SOL.ORAL X100ML                 3              1           FAB
BISTURI #10                                    14              2           CLA
BK DIRECTO                                    888              7           CLA
BONACOXIB 90MG TAB                             50             12           ELI
BONAZOL 40MG TAB                              303            327           FAB
BROMELIN 0,88GR SUSP X100ML                    36             27           CLA
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           4              2           CLA
BRONCODEX COMPUESTO JRBE X120ML                 6              6           FAB
BRONCOXAN DILAT JRBE X120ML                     0              1           ELI
BRUCELLA 2MET                                 991              3           EFR
BRUCELLA AGLU TUBO                            992              3           EFR
BRUCELLA ROSA DE BENGALA                      988              3           EFR
CAMPA:A MEDICINA GENERAL                      998              1           ELI
CANULA BINASAL L (ADULTO)                      58              2           ELIúZethQuark Versi¢n 7.0ú                                               21/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 21/03/2025 AL 21/05/2025        18:18:20
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CAPTOPRIL 25MG TAB BLSTX10                     10              3           ELI
CARNET DE SANIDAD HUAURA                     9994              4           ELI
CARNET DE SANIDAD SANTA MARIA                9998              2           CLA
CEA(ANTIGENO CARCINOEMBRIONARIO)              996              1           ELI
CEA(CANCER DE PULMON Y COLON)                 982              2           CLA
CEFMARK 500MG CAP                              36             24           CLA
CEFTRIAXONA 1G AMP                             66            127           CLA
CELECOXIB 200MG CAP BLSTX10                     0              2           ELI
CELEPOXX 200MG CAP                            148             52           CLA
CERT. MEDICO DOCUMENTO                          2              4           FAB
CERT. MEDICO LLENADO                         9996              5           ELI
CIDOBEL 500MG CAP                              94            106           ELI
CIPROFLOXACINO 500MG TAB BLSTX10               10              6           EFR
CITRAPOT POTE 300G NARANJA                      3              1           ELI
CLARITROX 500MG TAB                           150            316           FAB
CLAVUTRIM 250MG/5ML SUSP X60ML                  3              4           FAB
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         4              4           ELI
CLINDAMICINA 600MG/4ML AMP                     31              1           FAB
CLOBULER 15MG/5ML JRBE X100ML                   5              3           FAB
CLORFEDAN 10MG/1ML (IM/IV) AMP                 16              7           ELI
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             1              5           FAB
CLORFENAMINA 4MG BLSTX10                       10              2           CLA
CLORURO DE SODIO 0,9% X100ML                  398            348           CLA
CLORURO DE SODIO 0,9% X250ML                  104             79           CLA
CLOTRIALIV 2% CREMA X30G + APLICADOR            5              1           ELI
COLAG HP 420GR VAINILLA                         2              6           ELI
COLESTEROL                                    923              5           CLA
COLOCACION DE YESO                           9999              3           ELI
CONCENTRADOR ALQUILER X DIA                   930              4           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA     9996              3           ELI
CONSULTA MEDICINA GENERAL DR B.BAYONA           0             21           FAB
CONSULTA MEDICINA GENERAL DR M.DIAZ           986             17           FAB
CONSULTA MEDICINA GENERAL DR M.MOLINA         655            338           CLA
CONSULTA MEDICINA GENERAL DRA K.TORRES        980             20           FAB
CONSULTA MEDICINA GENERAL DRA M.MAITA           0              4           CLA
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         972              4           CLA
COPROCULTIVO                                  963              2           CLA
COPROLOGICO FUNCIONAL                         726              5           CLA
CREATINA                                      871              1           CLA
CREATININA                                    991             15           CLA
CULTIVO DE SEC.VAGINAL                        953              2           CLA
CULTIVO DE SECRECION FARINGEA                 929              2           CLA
CULTIVO SEC HERIDA                            987              1           FAB
CULTIVO SECRECION OTICA                       993              3           CLA
CURACION                                      930              2           ELI
DENGUE ANTIGENO NS1                          9999              1           ELI
DEQUAZOL ORAL 250MG/5ML SUSP X120ML             2              1           CLA
DESAZONA 4MG TAB                              142             12           ELI
DEXAFLAM NF 2MG/5ML JRBE X100ML                 3              2           ELI
