úZethQuark Versi¢n 7.0ú                                                                                                      10/06/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              09:38:16
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ACICLAV 500MG+125MG TAB                     99          2.50      0.93          247.50            92.07           155.43
ACICLAV 875MG+125MG TAB                     32          3.00      1.89           96.00            60.48            35.52
ACICLOVIR 400MG TAB                        133          1.00      0.36          133.00            47.88            85.12
ACIDO FOLICO 0.5MG TAB BLSTX10               4          3.00      0.60           12.00             2.40             9.60
ACIDO FUSIDICO 2% CREMA X15G                 3         20.00     14.00           60.00            42.00            18.00
AERO-SIM 80MG/1ML GOTAS X15ML FRESA          8         20.00      8.70          160.00            69.60            90.40
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE        23          3.00      1.29           69.00            29.67            39.33
AFTOTEX SOLUCION SPRAY X30ML                 4         40.00     23.00          160.00            92.00            68.00
AGUA ESTERIL PARA INYEC.AMP                139          1.00      0.27          139.00            37.53           101.47
AIRUM JAT SOL.ORAL X120ML                    3         80.00     44.50          240.00           133.50           106.50
ALBENDAZOL 200MG TAB                        44          1.00      0.23           44.00            10.12            33.88
ALERCHECK PLUS 10MG CAP                    185          1.50      0.25          277.50            46.25           231.25
ALERGIZINA D TAB                            32          2.50      1.59           80.00            50.88            29.12
ALERLIV 5MG TAB                             13          2.00      0.22           26.00             2.86            23.14
ALPRAZOLAM 0.5MG TAB                       300          0.30      0.06           90.00            18.00            72.00
AMBROXOL 30MG/5ML ADULTO JRBE X120ML         3         15.00      3.90           45.00            11.70            33.30
AMIKACINA 500MG/2ML (IM/IV) AMP             65          5.70      1.55          370.50           100.75           269.75
AMPICILINA 1G (IM/IV) AMP                   10          4.00      1.69           40.00            16.90            23.10
ASCORBIC PROMOCION                          58         80.00     25.00        4,640.00         1,450.00         3,190.00
ASSA 81MG TAB                                8          1.00      0.75            8.00             6.00             2.00
ATORVASTATINA 20MG TAB BLSTX10              36          3.00      1.10          108.00            39.60            68.40
ATOS 15MG/5ML JRBE X120ML                    5         15.00      8.70           75.00            43.50            31.50
ATROPINA 0.50MG/1ML (IM/IV) AMP             10          4.00      1.47           40.00            14.70            25.30
