úZethQuark Versi¢n 7.0ú                                                                                                      03/06/2025
POL.LOS ANGELES                    REPORTE INVENTARIO VALORIZADO X LINEA (INSUMOS MEDICOS) MOSTRADOR                           16:18:18
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ABOCAT #20                                  19          5.00      1.60           95.00            30.40            64.60
ABOCAT #22                                  36          5.00      1.00          180.00            36.00           144.00
ABOCAT #24                                 663          5.00      1.18        3,315.00           782.34         2,532.66
AEROCAMARA (ADULTO)                         13         17.00      5.00          221.00            65.00           156.00
AEROCAMARA (PEDIATRICO)                     19         17.00      5.50          323.00           104.50           218.50
AGUJA #18                                 1795          0.51      0.05          915.45            89.75           825.70
AGUJA #21                                  349          0.50      0.05          174.50            17.45           157.05
AGUJA #22                                  223          0.50      0.05          111.50            11.15           100.35
AGUJA #23                                   30          0.50      0.08           15.00             2.40            12.60
AGUJA #25                                  837          0.50      0.08          418.50            66.96           351.54
ALITAS #23 LARGO X30CM                      51          3.00      0.26          153.00            13.26           139.74
ALITAS #25 LARGO X30CM                      77          3.00      0.26          231.00            20.02           210.98
BATA DESCARTABLE                            28         12.00      3.50          336.00            98.00           238.00
BISTURI #10                                 14          2.00      0.15           28.00             2.10            25.90
BOLSA COLECTORA (ADULTO)                    15         10.00      2.20          150.00            33.00           117.00
CANULA BINASAL L (ADULTO)                   58          5.00      2.00          290.00           116.00           174.00
CERT. MEDICO DOCUMENTO                      11         25.00     18.00          275.00           198.00            77.00
EQUIPO DE VENOCLISIS 20GOT/ML              805          4.00      0.55        3,220.00           442.75         2,777.25
EQUIPO MICROGOTERO CON VOLUTROL 100ML       12         15.00      2.20          180.00            26.40           153.60
ESPECULO TALLA L                             2          5.00      2.00           10.00             4.00             6.00
ESPECULO TALLA M                            10          5.00      2.17           50.00            21.70            28.30
ESPECULO TALLA S                            25          5.00      1.10          125.00            27.50            97.50
FRASCO PARA M.HECES                        349          1.50      0.30          523.50           104.70           418.80
FRASCO PARA M.ORINA                        270          1.50      0.33          405.00            89.10           315.90
FRUTI FLEX FRESA X1L                        16         10.56      6.50          168.96           104.00            64.96
FRUTTIPED FRESA X500ML                      12          9.00      5.20          108.00            62.40            45.60
GASA 10X10                                 137          3.00      0.60          411.00            82.20           328.80
GASA PARAFINADA ESTERIL 10X10 (JELNOT)      20          5.00      2.60          100.00            52.00            48.00
GUANTES QUIRURGICO TALLA 7.5                25          5.00      2.00          125.00            50.00            75.00
JERINGA 10ML                               379          1.00      0.16          379.00            60.64           318.36
JERINGA 1ML                                171          1.00      0.12          171.00            20.52           150.48
JERINGA 20ML                              1086          1.00      0.26        1,086.00           282.36           803.64
JERINGA 3ML                                197          0.50      0.21           98.50            41.37            57.13
JERINGA 5ML                                 54          1.00      0.14           54.00             7.56            46.44
LLAVE TRIPLE VIA                           185          5.00      0.60          925.00           111.00           814.00
MASCARILLA CON RESERVORIO (ADULTO)           1         20.00      7.00           20.00             7.00            13.00
MASCARILLA CON RESERVORIO (PEDIATRICO)       1         12.00      8.00           12.00             8.00             4.00
MASCARILLA NEBULIZADORA (ADULTO)            19         12.00      2.50          228.00            47.50           180.50
MASCARILLA NEBULIZADORA (PEDIATRICO)        22         12.00      2.50          264.00            55.00           209.00
NYLON #4                                    43          7.00      3.20          301.00           137.60           163.40
NYLON #5                                    54          7.00      3.66          378.00           197.64           180.36
SONDA FOLEX DE LATEX #14                     6         10.00      4.00           60.00            24.00            36.00
SONDA FOLEY DE LATEX #16                     8         12.00      5.00           96.00            40.00            56.00
SONDA NASOGASTRICA #14                      12         10.00      1.60          120.00            19.20           100.80
SUERO FISIOLOGICO X1000ML                    6         30.00     20.00          180.00           120.00            60.00
VENDA ELASTICA 5X5                          34          3.00      1.40          102.00            47.60            54.40
VENDA YESO 4X5                               5         18.00      4.00           90.00            20.00            70.00
---------------------------------------------------------------------------------------------------------------------------------------
T O T A L E S :                                                              17,222.91         4,000.07        13,222.84
---------------------------------------------------------------------------------------------------------------------------------------