úZethQuark Versi¢n 7.0ú                                                                                                      01/07/2025
ELAM MEDICAL                           REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              08:40:30
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ACICLAV 250MG+62.5MG/5ML SUSP X60ML          9         34.90     11.20          314.10           100.80           213.30
ACICLAV 500MG+125MG TAB                     67          2.50      0.93          167.50            62.31           105.19
ACICLAV 875MG+125MG TAB                     42          3.00      1.79          126.00            75.18            50.82
ACICLOVIR 400MG TAB                        133          1.00      0.36          133.00            47.88            85.12
ACIDO FOLICO 0.5MG TAB BLSTX10               4          3.00      0.60           12.00             2.40             9.60
ACIDO FUSIDICO 2% CREMA X15G                 3         20.00     14.00           60.00            42.00            18.00
AERO-SIM 80MG/1ML GOTAS X15ML FRESA          8         20.00      8.70          160.00            69.60            90.40
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE        23          3.00      1.29           69.00            29.67            39.33
AFTOTEX SOLUCION SPRAY X30ML                 3         40.00     23.00          120.00            69.00            51.00
AGUA ESTERIL PARA INYEC.AMP                156          1.00      0.27          156.00            42.12           113.88
AIRUM JAT SOL.ORAL X120ML                    2         80.00     44.50          160.00            89.00            71.00
ALBENDAZOL 200MG TAB                        44          1.00      0.23           44.00            10.12            33.88
ALERCHECK PLUS 10MG CAP                    231          1.50      0.25          346.50            57.75           288.75
ALERGIZINA D TAB                            32          2.50      1.59           80.00            50.88            29.12
ALERLIV 5MG TAB                             13          2.00      0.22           26.00             2.86            23.14
ALPRAZOLAM 0.5MG TAB                       190          0.30      0.06           57.00            11.40            45.60
AMBROXOL 30MG/5ML ADULTO JRBE X120ML         3         15.00      3.90           45.00            11.70            33.30
AMIKACINA 500MG/2ML (IM/IV) AMP             48          5.70      1.55          273.60            74.40           199.20
AMPICILINA 1G (IM/IV) AMP                   10          4.00      1.69           40.00            16.90            23.10
ASCORBIC PROMOCION                         101         80.00     25.00        8,080.00         2,525.00         5,555.00
ATORVASTATINA 20MG TAB BLSTX10              30          3.00      1.10           90.00            33.00            57.00
ATOS 15MG/5ML JRBE X120ML                    4         15.00      8.70           60.00            34.80            25.20
ATROPINA 0.50MG/1ML (IM/IV) AMP             10          4.00      1.47           40.00            14.70            25.30
AZIMUT 200MG/5ML SUSP.ORAL X30ML             3         35.00     22.72          105.00            68.16            36.84
AZITROMICINA 500MG TAB                      28          2.91      0.82           81.48            22.96            58.52
B12 ANKERMANN 1000ug TAB                    56          1.30      0.01           72.80             0.56            72.24
BACTAMOX 500MG TAB                         326          1.30      0.27          423.80            88.02           335.78
BAGOLIFE CAP                                30          3.80      2.50          114.00            75.00            39.00
BANES 100MG/5ML SUSP.ORAL X60ML             27         15.00      4.91          405.00           132.57           272.43
BANES FORTE 200MG/5ML SUSP.ORAL X60ML        1         25.00     11.00           25.00            11.00            14.00
BENCILPENIC BENZATINICA 1200000 AMP         49          8.00      1.60          392.00            78.40           313.60
BENCILPENIC PROCAINICA 1000000 AMP          67          8.50      1.63          569.50           109.21           460.29
BETACORT DEPOT 2 10MG+4MG/2ML AMP            5         37.00     26.00          185.00           130.00            55.00
BETACORT DEPOT 5MG+2MG/1ML AMP               4         30.00     19.00          120.00            76.00            44.00
BETAHISTINA 24MG TAB                        44          3.00      1.25          132.00            55.00            77.00
BETAMETASONA 4MG/1ML AMP                    36         14.00      2.79          504.00           100.44           403.56
BIONIS 15MG/5ML SOL.ORAL X100ML              4         36.00     26.40          144.00           105.60            38.40
BISMOSAN SUSP X120ML                         7         14.00      7.50           98.00            52.50            45.50
BONACOXIB 90MG TAB                          40          4.00      1.14          160.00            45.60           114.40
BONAZOL 40MG TAB                           330          2.50      0.53          825.00           174.90           650.10
BROMELIN 0,88GR SUSP X100ML                 47         35.00     18.50        1,645.00           869.50           775.50
BROMURO DE IPRATROPIO 20MCG/D AEROSOL        6         40.00     14.00          240.00            84.00           156.00
BRONCODEX COMPUESTO JRBE X120ML              3         23.00     12.50           69.00            37.50            31.50
C-FLOX 500MG TAB                           100          1.40      0.20          140.00            20.00           120.00
CADELIUS 600MG/1000UL TAB X30                2         85.00     60.63          170.00           121.26            48.74
CAPTOPRIL 25MG TAB BLSTX10                  10          2.00      0.47           20.00             4.70            15.30
CARDIOASPIRINA 100MG                        20          3.00      1.00           60.00            20.00            40.00
CEFALEXINA 250MG/5ML SUSPX60ML               2         11.00      7.99           22.00            15.98             6.02
CEFMARK 500MG CAP                          136          1.50      0.75          204.00           102.00           102.00
CEFTRIAXONA 1G AMP                          67          8.00      1.35          536.00            90.45           445.55
CELEPOXX 200MG CAP                         244          1.00      0.35          244.00            85.40           158.60
CIDOBEL 500MG CAP                          164          1.50      0.64          246.00           104.96           141.04
CIFLOXDAN 200MG/100ML AMP X100ML             3         13.50      3.40           40.50            10.20            30.30
CIPROFIBRATO 100MG CAP X100                 50          3.30      1.74          165.00            87.00            78.00
CIPROFLOXACINO 500MG TAB BLSTX10            34          5.00      0.68          170.00            23.12           146.88úZethQuark Versi¢n 7.0ú                                                                                                      01/07/2025
