úZethQuark Versi¢n 7.0ú                                                                                                      03/05/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              11:37:50
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ACICLAV 500MG+125MG TAB                    136          2.50      0.96          340.00           130.56           209.44
ACICLAV 875MG+125MG TAB                     51          3.00      1.89          153.00            96.39            56.61
ACICLOVIR 400MG TAB                        203          1.00      0.36          203.00            73.08           129.92
ACIDO FOLICO 0.5MG TAB BLSTX10               4          3.00      0.60           12.00             2.40             9.60
ACIDO FUSIDICO 2% CREMA X15G                 5         20.00     14.00          100.00            70.00            30.00
AERO-SIM 80MG/1ML GOTAS X15ML FRESA          7         20.00      8.70          140.00            60.90            79.10
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE        60          3.00      1.29          180.00            77.40           102.60
AFTOTEX SOLUCION SPRAY X30ML                 2         40.00     23.00           80.00            46.00            34.00
AGUA ESTERIL PARA INYEC.AMP                117          1.00      0.27          117.00            31.59            85.41
AIRUM JAT SOL.ORAL X120ML                    3         80.00     44.50          240.00           133.50           106.50
ALBENDAZOL 200MG TAB                        88          1.00      0.23           88.00            20.24            67.76
ALERCHECK PLUS 10MG CAP                    181          1.50      0.25          271.50            45.25           226.25
ALERGIZINA D TAB                            32          2.50      1.59           80.00            50.88            29.12
ALERLIV 5MG TAB                             20          2.00      0.22           40.00             4.40            35.60
AMBROXOL 30MG/5ML ADULTO JRBE X120ML         4         15.00      3.90           60.00            15.60            44.40
AMIKACINA 500MG/2ML (IM/IV) AMP            109          5.70      1.55          621.30           168.95           452.35
AMPICILINA 1G (IM/IV) AMP                   10          4.00      1.69           40.00            16.90            23.10
ANEURIN 25 000 SOLUCION INYECTABLE           3         35.00     14.00          105.00            42.00            63.00
ASCORBIC PROMOCION                          20         80.00     25.00        1,600.00           500.00         1,100.00
ATORVASTATINA 20MG TAB BLSTX10              38          3.00      1.10          114.00            41.80            72.20
ATROPINA 0.50MG/1ML (IM/IV) AMP             15          4.00      1.47           60.00            22.05            37.95
ATROPINA 1MG/1ML (IM/IV) AMP                 1          4.00      2.40            4.00             2.40             1.60
AZIMUT 200MG/5ML SUSP.ORAL X30ML             6         35.00     22.72          210.00           136.32            73.68
AZITROMICINA 500MG TAB                      34          3.00      0.78          102.00            26.52            75.48
B12 ANKERMANN 1000ug TAB                    88          1.30      0.01          114.40             0.88           113.52
BACTAMOX 500MG TAB                          91          1.30      0.28          118.30            25.48            92.82
BAGOLIFE CAP                                30          3.80      2.50          114.00            75.00            39.00
BANES 100MG/5ML SUSP.ORAL X60ML              7         15.00      4.91          105.00            34.37            70.63
BANES FORTE 200MG/5ML SUSP.ORAL X60ML        6         25.00     11.00          150.00            66.00            84.00
BENCILPENIC BENZATINICA 1200000 AMP         30          8.00      1.50          240.00            45.00           195.00
BENCILPENIC PROCAINICA 1000000 AMP          73          8.50      1.60          620.50           116.80           503.70
BETACORT DEPOT 2 10MG+4MG/2ML AMP            6         37.00     26.00          222.00           156.00            66.00
BETACORT DEPOT 5MG+2MG/1ML AMP               6         30.00     19.00          180.00           114.00            66.00
