úZethQuark Versi¢n 7.0ú                                               28/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 28/02/2025 AL 28/03/2025        19:38:21
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                     26              3           ELI
ABOCAT #22                                     57              5           ELI
ABOCAT #24                                    495            116           ELI
ACICLAV 250MG+62.5MG/5ML SUSP X60ML             0              1           EFR
ACICLAV 500MG+125MG TAB                       171             14           ELI
ACICLAV 875MG+125MG TAB                        51             20           EFR
ACICLOVIR 400MG TAB                            55             60           ELI
ACICLOVIR 5% CREMA 5GR                          0              2           ELI
ACIDO FOLICO 0.5MG TAB BLSTX10                  4              2           ELI
ACIDO FUSIDICO 2% CREMA X15G                    6              4           ELI
AEROCAMARA (ADULTO)                            13              1           ELI
AEROCAMARA (PEDIATRICO)                        12              1           ELI
AFP(CANCER DE HIGADO)                         985              1           ELI
AFTOTEX SOLUCION SPRAY X30ML                    0              1           ELI
AGLUTINACIONES                               8720             42           ELI
AGUA ESTERIL PARA INYEC.AMP                    87             47           ELI
AGUJA #18                                     537            476           ELI
AGUJA #25                                     837              1           ELI
ALERCHECK PLUS 10MG CAP                       110             49           ELI
AMIKACINA 500MG/2ML (IM/IV) AMP                51             38           ELI
AMILASA                                       936              1           ELI
ANA ANTICUERPOS ANTINUCLEARES                 977              1           ELI
ASCORBIC PROMOCION                             34             76           ELI
ATORVASTATINA 20MG TAB BLSTX10                  9             41           ELI
AZITROMICINA 500MG TAB                         85              8           ELI
BATA DESCARTABLE                               29              4           ELI
BENCILPENIC PROCAINICA 1000000 AMP             74             41           ELI
BETAMETASONA 4MG/1ML AMP                       18              8           ELI
BISTURI #10                                    16              6           EFR
BK DIRECTO                                    894              5           ELI
BROMELIN 0,88GR SUSP X100ML                    32              5           ELI
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           6              1           ELI
BRONCOXAN DILAT JRBE X120ML                     6              1           EFR
BRUCELLA 2MET                                 993              1           ELI
BRUCELLA AGLU TUBO                            994              1           ELI
BRUCELLA ROSA DE BENGALA                      990              1           ELI
CALCIO ORINA 24HRS                            997              1           ELI
CALCITONINA                                   994              1           ELI
CAMPA:A MEDICINA GENERAL                      998              2           ELI
CAPTOPRIL 25MG TAB BLSTX10                     22              1           EFR
CARNET DE SANIDAD HUAURA                     9997              1           ELI
CARNET DE SANIDAD SANTA MARIA                   5              2           ELI
CEA(ANTIGENO CARCINOEMBRIONARIO)              996              1           ELI
CEA(CANCER DE PULMON Y COLON)                 983              1           ELI
CEFTRIAXONA 1G AMP                             93            127           ELI
CELECOXIB 200MG CAP BLSTX10                     8             13           ELI
CERT. MEDICO LLENADO                           48              1           ELI
CIDOBEL 500MG CAP                             190             10           ELI
CIPROFLOXACINO 500MG TAB BLSTX10               13              3           ELI
CITRAPOT POTE 300G NARANJA                      3              1           ELI
CLARITROX 500MG TAB                           231            193           ELI
CLINDA C 300MG CAP                             54              6           EFR
CLOBULER 15MG/5ML JRBE X100ML                   1              2           ELI
CLONAZEPAM 0.5MG TAB                          145             55           ELI
CLORFEDAN 10MG/1ML (IM/IV) AMP                 32              5           ELIúZethQuark Versi¢n 7.0ú                                               28/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 28/02/2025 AL 28/03/2025        19:38:26
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             6              1           EFR
CLORURO DE SODIO 0,9% X100ML                  456            250           ELI
CLORURO DE SODIO 0,9% X250ML                   43             46           ELI
COLAG HP 420GR FRUTOS DEL BOSQUE                0              3           ELI
COLAG HP 420GR VAINILLA                         4              5           ELI
COLESTEROL                                    923              7           ELI
COLOCACION DE YESO                            100              1           ELI
CONSTANCIA MEDICA                             961              2           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA        7              1           ELI
CONSULTA MEDICINA GENERAL DR B.BAYONA          79             14           ELI
CONSULTA MEDICINA GENERAL DR M.MOLINA         950            206           ELI
CONSULTA MEDICINA GENERAL DRA K.TORRES       1000              1           ELI
CONSULTA MEDICINA GENERAL DRA M.MAITA         985             10           ELI
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         974              2           ELI
COPROLOGICO FUNCIONAL                         731              1           ELI
CREATININA                                   1002              6           ELI
CULTIVO DE SEC.VAGINAL                        953              4           ELI
CULTIVO SECRECION OTICA                       994              1           ELI
CURACION                                      931              2           ELI
CURACION HERIDA 25                          45637              4           ELI
DESAZONA 4MG TAB                              100              6           EFR
DEXCORTIL 4MG/2ML (IM/IV) AMP                  77             18           ELI
DEXIDE SR 1000 TAB                            146             12           ELI
DICLOFIX 75MG/3ML (IM) AMP                     94             68           ELI
DIMENS 5MG/5ML JRBE X120ML                      5              1           ELI
DOBESIUM 100MCG TAB                           110             60           ELI
DOBESIUM 50MCG TAB                             40             30           EFR
DOLO-KET 60MG/2ML (IM) AMP                     30              1           ELI
DOXIPROCT PLUS POMADA X12G                      7              3           ELI
ELECTROLITOS                                  974              1           ELI
ENDOVENOSO  EXTERNO                            27              3           ELI
ENDOVENOSO DOMICILIO                           75              1           ELI
ENDOVENOSO INTERNO                          45078            145           ELI
ENTEROGERMINA AMP.BEBIBLE                      40              2           ELI
EQUIPO DE VENOCLISIS 20GOT/ML                 178            108           ELI
EQUIPO MICROGOTERO CON VOLUTROL 100ML          24              1           ELI
ESOMEPRAZOL 40MG TAB                            0             13           EFR
ESPECULO TALLA M                               11              4           ELI
EVACUOL PLUS SOLUCION X266ML                    2              1           ELI
EXTRACCION DE U¥AS X1                        9995              2           EFR
EYEMO COLIRIO 0.05% SOL.OFTA X8ML               1              1           ELI
FACTOR REUMATOIDE CUANTITATIVO                947              1           ELI
FERROPRIME 100MG/5ML + MATERIAL                10              1           EFR
FISIOFER 40MG/15ML AMP.BEBIBLE                  2              3           ELI
FLEX 4MG TAB                                   90             30           ELI
FLEX NF 2MG/1ML AMP (IM)                        0              3           ELI
FLOREA CAP                                     60             50           ELI
FLUIMEXINA 600MG SOB                          159             43           ELI
FOSFUROL 3G SOB X1                              4              4           ELI
FRASCO PARA M.HECES                           296             46           ELI
FRASCO PARA M.ORINA                           359             76           ELI
FROTIS DIRECTO(KOH-HONGOS)                    724              2           ELI
FRUTI FLEX FRESA X1L                           12              4           ELI
FUROSEMIDA 40MG TAB BLSTX10                     8              1           EFR
G.G.T.P                                       854              2           ELIúZethQuark Versi¢n 7.0ú                                               28/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 28/02/2025 AL 28/03/2025        19:38:26
PRT123()                                                              Pag.-    3
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
GASA 10X10                                     87             45           ELI
GASEOVET MS SUSP X220ML                         1             23           ELI
GENOGEL PLUS POTE X500G                         5              3           ELI
GERIA CARE POTE X1000G                          0              4           ELI
GLIBENCLAMIDA 5MG TAB BLSTX10                  19              1           ELI
GLUCENIL D POTE X1000G                          5              2           EFR
GLUCOSA                                      8630             26           ELI
GLUCOTECH                                      34             35           ELI
GLYCOLAX 17G SOB                               37             13           ELI
GRAHAM ACAROS                                 799              1           ELI
GRUPO SANGUINEO/FACTOR RH                     944              4           ELI
GUANTES QUIRURGICO TALLA 7.5                   30              3           EFR
HCG PRUEBA EMBARAZO RAPIDA                     16             11           ELI
HCG SUB UNIDAD BETA CUANTITATIVO              892              1           ELI
HELICOBACTER IGG                              933              2           ELI
HELICOBACTER IGM                            10023             20           ELI
HELICOBACTER PYORI ANTIGENO FECALES          9999              6           ELI
HEMOG. GLICOSILADA                          10008              4           ELI
HEMOGLOBINA HEMATOCRITO                       708              6           ELI
HEMOGRAMA COMPLETO                          10044             48           ELI
HEPABIONTA 2ML AMP                             18             22           ELI
HEPATITISB,ANTI HB Ag(AUST)                   999              1           ELI
HIDROCORTISONA 250MG AMP                        6              2           ELI
HIOSIMOL10 10MG TAB                           105              5           EFR
HIRUDOID 0.300% POMADA X14GR                    8              1           ELI
HIV                                         10014              1           ELI
IBUSOL 100MG/5ML SUSP X60ML                     9              2           ELI
INFILTRACION DE ARTICULACIONES                 54              2           ELI
INMUNO PED SOBRE                              347              5           ELI
INSULINA APLICACION 1-3 WOSULIN N               5              4           ELI
INYECTABLE   INTRAMUSCULAR EXTERNO           1344             14           ELI
JERINGA 10ML                                  150            166           ELI
JERINGA 1ML                                   183              4           ELI
JERINGA 20ML                                  426            254           ELI
JERINGA 5ML                                    97             24           ELI
KETALGESICO 25MG TAB                           54             10           ELI
KETOPROFENO 100MG/2ML (IM) AMP                  8              2           ELI
KETOPROPHARM 100MG/5ML (IV) AMP                62             86           ELI
LACTULOSA 3.3G/5ML SOL.ORAL X120ML              5              1           ELI
LAVADO DE OIDO I                             9999              1           ELI
LAVADO DE OIDO II                            1804              3           ELI
LAVADO OCULAR                                9998              1           ELI
LIDOCAINA 2% X20ML AMP                         29             18           ELI
LINCOMAX 600MG/2ML (IM/IV) AMP                 26             16           ELI
LIPASA                                        999              1           ELI
LLAVE TRIPLE VIA                              200             84           ELI
LORATADINA 10MG TAB BLSTX10                    10              3           ELI
MASCARILLA NEBULIZADORA (ADULTO)               22              1           ELI
MASCARILLA NEBULIZADORA (PEDIATRICO)           22              2           ELI
MEGADERM CREMA X10G                             4              1           ELI
MELATONIN 500MCG TAB.SUBLING X60                3              4           ELI
METAMIZOL 1G/2ML AMP                           50              4           ELI
METRONIDAZOL 500MG/100ML AMP X100ML             2              1           ELI
MICROALBUMINURIA ORINA SIMPLE               10002              3           ELI
MOTRIF 1% GEL TUBO X50G                         2              1           ELIúZethQuark Versi¢n 7.0ú                                               28/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 28/02/2025 AL 28/03/2025        19:38:26
PRT123()                                                              Pag.-    4
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
MUCOBROL 300MG/3ML AMP                          8              6           ELI
MULCEROL 40MG TAB                             297            273           ELI
NAXODOL 550MG TAB                              60              2           ELI
NEBULIZACION X 3                              192              4           ELI
NEUMOPUL POTE 500G VAINILLA                     7              1           EFR
NORSPAN 5MG PARCHE                              0              1           ELI
NYLON #4                                       45              1           ELI
OMEPRAZOL 40MG AMP                             61             33           ELI
OMETAB 20MG TAB                               125            100           ELI
ORFEDRIN 100MG TAB                            120              6           ELI
ORFELAX 60MG/2ML (IM/IV) AMP                   78             69           ELI
ORINA COMPLETA                               7600             68           ELI
OTIDOL NF SOL.OTICA X5ML                        3              4           ELI
PANEL DE ALERGIA(32 ALERGENOS)IGE ESPEC.      940              1           ELI
PAPANICOLAOU                                  838              2           ELI
PARACETAMOL 500MG TAB BLSTX10                  28              1           ELI
PARASITOLOGICO SIMPLE                         621             35           ELI
PARASITOLOGICO X3                            9968              2           ELI
PASMODAN 20MG/ML (IM/IV) AMP                   33              1           ELI
PCR CUANTITATIVA                            10003              8           ELI
PERFIL HEPATICO                              1017             34           ELI
PERFIL LIPIDICO                              1052             28           ELI
PERFIL REUMATICO                             1019             20           ELI
PHYTO SOYA 17.5MG TAB                          73             20           ELI
PIRIALIV 100MG TAB                            126             28           ELI
PREDNISONA 5MG TAB BLSTX10                     14              2           ELI
PRESION                                      1580              5           ELI
PRESION + SATURACION                          996              1           ELI
PRODEFEN PLUS SOBRE                            45             75           ELI
PROLACTINA                                    964              1           ELI
PRONOLIS HD 120MG/4.8ML MONO 2.5%               0              2           ELI
PRONTEL 100MG/5ML JRBE X20ML                    7              2           ELI
PROTEVIT KIDS POTE 1000G VAINILLA               3              1           ELI
PSA LIBRE                                     858              1           ELI
PSA TOTAL                                    1007              3           ELI
RANITIDINA 50MG/2ML AMP                         0              4           ELI
REACCION INFLAMATORIA EN HECES               9929              3           ELI
RETIRO PUNTO                                    7              1           ELI
ROWACHOL CAPSULAS                              71              4           ELI
ROWATINEX CAPSULAS                            246             44           ELI
RPR                                         10022              1           ELI
RX COLUMNA CERVICAL F - L                      99              1           ELI
RX COLUMNA DORSAL F - L                        98              1           ELI
RX COLUMNA LUMBAR SACRA F - L                  84              6           ELI
RX CRANEO F y L                                98              1           ELI
RX HOMBRO C/LADO                               96              2           EFR
RX MU¥ECA F y L C/LADO                         95              2           ELI
RX PIE C/LADO                                  96              2           ELI
RX PIERNA F y L                                96              1           ELI
RX RODILLA F y L C/LADO                        96              3           ELI
RX RODILLAS COMPARATIVAS                       91              2           ELI
RX SENOS PARANASALES 2T                        99              1           ELI
RX TOBILLO                                   9998              1           ELI
RX TOBILLO F y L C/LADO                        98              2           ELI
RX TORAX AP                                   971             16           ELIúZethQuark Versi¢n 7.0ú                                               28/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 28/02/2025 AL 28/03/2025        19:38:26
PRT123()                                                              Pag.-    5
--------------------------------------------------------------------------------
