úZethQuark Versi¢n 7.0ú                                               18/07/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 18/06/2025 AL 18/07/2025        18:13:39
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                      2              9           ELI
ABOCAT #22                                      7              4           MAY
ABOCAT #24                                    363             74           AUD
ACICLAV 250MG+62.5MG/5ML SUSP X60ML             8              1           ELI
ACICLAV 500MG+125MG TAB                        67             15           CLA
ACICLAV 875MG+125MG TAB                         4             44           AUD
ACICLOVIR 400MG TAB                           109             24           MAY
ACIDO FUSIDICO 2% CREMA X15G                    1              1           ELI
AEROCAMARA (ADULTO)                            12              5           MAY
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           18              5           AUD
AFTOTEX SOLUCION SPRAY X30ML                    3              1           CLA
AGLUTINACIONES                               8620             31           ELI
AGUA ESTERIL PARA INYEC.AMP                   124             41           ELI
AGUJA #18                                    1017            337           ELI
AGUJA #21                                     299              3           AUD
AGUJA #22                                     122              2           AUD
AGUJA #23                                     132             41           ELI
ALERCHECK PLUS 10MG CAP                       168             63           MAY
ALPRAZOLAM 0.5MG TAB                          130             32           RFE
AMIKACINA 500MG/2ML (IM/IV) AMP                23             30           AUD
ASCORBIC PROMOCION                            117             65           AUD
ASSA 81MG TAB                                   0              8           FAB
ASSIS 400 SUSP X220ML                          22             11           AUD
AZITROMICINA 500MG TAB                         92             38           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                23              3           ELI
BANES FORTE 200MG/5ML SUSP.ORAL X60ML           0              1           ELI
BATA DESCARTABLE                               25              3           ELI
BENCILPENIC PROCAINICA 1000000 AMP            104             22           ELI
BETACORT DEPOT 5MG+2MG/1ML AMP                  3              1           ELI
BETAHISTINA 24MG TAB                           15             30           ELI
BETAMETASONA 4MG/1ML AMP                       57             19           MAY
BISMOSAN SUSP X120ML                            4              1           CLA
BK DIRECTO                                    884              1           CLA
BOLSA COLECTORA (ADULTO)                       14              1           ELI
BONAZOL 40MG TAB                              390            250           AUD
BROMELIN 0,88GR SUSP X100ML                    32             14           MAY
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           5              2           MAY
C-FLOX 500MG TAB                               86             14           AUD
CAMPA:A MEDICINA GENERAL                      989              6           ELI
CAPTOPRIL 25MG TAB BLSTX10                      9              1           ELI
CEFTRIAXONA 1G AMP                             30            129           ELI
CELEPOXX 200MG CAP                            200             23           ELI
CERT. MEDICO DOCUMENTO                         15              2           ELI
CERT. MEDICO LLENADO                         9993              2           ELI
CIPROFIBRATO 100MG CAP X100                    30             20           ELI
CIPROFLOXACINO 500MG TAB BLSTX10                9              5           AUD
CLARITROX 500MG TAB                            54            140           AUD
CLAVULAB 875MG+125MG TAB                       88             10           ELI
CLENBUVENT EXPECT JRBE X120ML                  20              3           ELI
CLONAZEPAM 0.5MG TAB                          200             20           MAY
CLORURO DE SODIO 0,9% X100ML                  159            203           ELI
CLORURO DE SODIO 0,9% X250ML                  122             18           AUD
COLAG HP 420GR VAINILLA                         7              3           ELI
COLESTEROL                                    918              2           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA     9994              2           ELIúZethQuark Versi¢n 7.0ú                                               18/07/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 18/06/2025 AL 18/07/2025        18:14:00
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CONSULTA MEDICINA GENERAL DR E.JAIMES         982              4           CLA
CONSULTA MEDICINA GENERAL DR M.DIAZ           954             17           MAY
CONSULTA MEDICINA GENERAL DR M.MOLINA         313            199           ELI
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         969              2           AUD
COPROCULTIVO                                  962              1           ELI
COPROLOGICO FUNCIONAL                         724              1           CLA
CORTISOL 8AM                                  944              1           CLA
CREATININA                                    964             14           ELI
CULTIVO SECRECION FARINGEA Y MIC Test         927              1           AUD
CULTIVO SECRECION VAGINAL Y MIC Test          944              1           CLA
CURACION HERIDA 25                          45636              1           ELI
DEQUAZOL ORAL 250MG/5ML SUSP X120ML             0              1           ELI
DESAZONA 4MG TAB                               60             20           AUD
DEXCORTIL 4MG/2ML (IM/IV) AMP                  79             20           AUD
DIARGEM 2MG TAB                                31              9           ELI
DICLOFENACO 1% GEL X50GR                        2              1           AUD
DICLOFIX 75MG/3ML (IM) AMP                     85             50           ELI
DIGESTASE 80MG TAB                            122             18           AUD
DIPHA-SCBIX 5% CREMA X30G                       3              1           CLA
DOBESIUM 100MCG TAB                           100             30           CLA
DOLALIVIO COLIK TAB                           104              9           AUD
DOMICILIO ENDOVENOSO                         9997              1           MAY
DOXICICLINA 100MG CAP                          25             10           MAY
DOXIPROCT PLUS POMADA X12G                      5              2           MAY
DULERGINA 5MG/5ML JRBE X100ML                   7              3           ELI
EKG PROMOCION                                9991              3           ELI
ELECTROLITOS                                  973              1           CLA
ENALAPRIL 10MG TAB BLSTX10                     33              8           AUD
ENDOVENOSO  EXTERNO                          9994              2           ELI
ENDOVENOSO DOMICILIO                         9990              6           ELI
ENDOVENOSO INTERNO                          44663            106           ELI
EQUIPO DE VENOCLISIS 20GOT/ML                 445             69           ELI
EQUIPO MICROGOTERO CON VOLUTROL 100ML           9              1           ELI
ESPECULO TALLA L                                1              1           ELI
ESPECULO TALLA M                                3              2           ELI
FACTOR REUMATOIDE CUANTITATIVO                945              1           AUD
FLEX 4MG TAB                                   68             12           MAY
FLEX NF 2MG/1ML AMP (IM)                        7             19           MAY
FLOREA CAP                                     94             80           MAY
FLUIMEXINA 600MG SOB                           50            166           ELI
FOSTER INHALADOR                                1              2           AUD
FRASCO PARA M.HECES                           329             43           AUD
FRASCO PARA M.ORINA                            99             66           ELI
FROTIS DIRECTO(KOH-HONGOS)                    719              1           CLA
FRUTI FLEX FRESA X1L                            3              3           CLA
G.G.T.P                                       851              2           AUD
GASA 10X10                                    101             31           ELI
GASEOVET MS SUSP X220ML                         0              9           ELI
GENOGEL PLUS POTE X500G                         1              3           MAY
GERIA CARE POTE X1000G                         13              1           ELI
GINOFURAN XR 100MG CAP                         52             14           ELI
GLUCOSA                                      8574             10           MAY
GLUCOTECH                                      28             18           MAY
GLYCOLAX 17G SOB                               23              2           CLA
