úZethQuark Versi¢n 7.0ú                                                                                                      20/06/2025
POL.LOS ANGELES                    REPORTE INVENTARIO VALORIZADO X LINEA (INSUMOS MEDICOS) MOSTRADOR                           17:00:28
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ABOCAT #20                                  19          5.00      1.60           95.00            30.40            64.60
ABOCAT #22                                  34          5.00      1.00          170.00            34.00           136.00
ABOCAT #24                                 519          5.00      1.18        2,595.00           612.42         1,982.58
AEROCAMARA (ADULTO)                         11         17.00      5.00          187.00            55.00           132.00
AEROCAMARA (PEDIATRICO)                     19         17.00      5.50          323.00           104.50           218.50
AGUJA #18                                 1529          0.50      0.05          764.50            76.45           688.05
AGUJA #21                                  349          0.50      0.05          174.50            17.45           157.05
AGUJA #22                                  123          0.50      0.05           61.50             6.15            55.35
AGUJA #23                                   20          0.50      0.08           10.00             1.60             8.40
AGUJA #25                                  837          0.50      0.08          418.50            66.96           351.54
ALITAS #23 LARGO X30CM                      51          3.00      0.26          153.00            13.26           139.74
ALITAS #25 LARGO X30CM                      77          3.00      0.26          231.00            20.02           210.98
BATA DESCARTABLE                            21         12.00      3.50          252.00            73.50           178.50
BISTURI #10                                 14          2.00      0.15           28.00             2.10            25.90
BOLSA COLECTORA (ADULTO)                    15         10.00      2.20          150.00            33.00           117.00
CANULA BINASAL L (ADULTO)                   58          5.00      2.00          290.00           116.00           174.00
CERT. MEDICO DOCUMENTO                       4         25.00     18.00          100.00            72.00            28.00
EQUIPO DE VENOCLISIS 20GOT/ML              619          4.00      0.55        2,476.00           340.45         2,135.55
EQUIPO MICROGOTERO CON VOLUTROL 100ML        8         15.00      2.20          120.00            17.60           102.40
ESPECULO TALLA L                             2          5.00      2.00           10.00             4.00             6.00
ESPECULO TALLA M                             4          5.00      2.17           20.00             8.68            11.32
ESPECULO TALLA S                            25          5.00      1.10          125.00            27.50            97.50
FRASCO PARA M.HECES                        220          1.50      0.30          330.00            66.00           264.00
FRASCO PARA M.ORINA                        224          1.50      0.33          336.00            73.92           262.08
FRUTI FLEX FRESA X1L                         8         12.00      6.50           96.00            52.00            44.00
FRUTTIPED FRESA X500ML                      10          9.00      5.20           90.00            52.00            38.00
GASA 10X10                                 103          3.00      0.60          309.00            61.80           247.20
GASA PARAFINADA ESTERIL 10X10 (JELNOT)      20          5.00      2.60          100.00            52.00            48.00
GUANTES QUIRURGICO TALLA 7.5                24          5.00      2.00          120.00            48.00            72.00
JERINGA 10ML                               288          1.00      0.16          288.00            46.08           241.92
JERINGA 1ML                                171          1.00      0.12          171.00            20.52           150.48
JERINGA 20ML                               842          1.00      0.26          842.00           218.92           623.08
JERINGA 3ML                                197          0.50      0.21           98.50            41.37            57.13
JERINGA 5ML                                 52          1.00      0.14           52.00             7.28            44.72
LLAVE TRIPLE VIA                           136          5.00      0.60          680.00            81.60           598.40
MASCARILLA CON RESERVORIO (ADULTO)           1         20.00      7.00           20.00             7.00            13.00
MASCARILLA CON RESERVORIO (PEDIATRICO)       1         12.00      8.00           12.00             8.00             4.00
MASCARILLA NEBULIZADORA (ADULTO)            17         12.00      2.50          204.00            42.50           161.50
MASCARILLA NEBULIZADORA (PEDIATRICO)        17         12.00      2.50          204.00            42.50           161.50
NYLON #4                                    43          7.00      3.20          301.00           137.60           163.40
NYLON #5                                    54          7.00      3.66          378.00           197.64           180.36
SONDA FOLEX DE LATEX #14                     6         10.00      4.00           60.00            24.00            36.00
SONDA FOLEY DE LATEX #16                     8         12.00      5.00           96.00            40.00            56.00
SONDA NASOGASTRICA #14                      12         10.00      1.60          120.00            19.20           100.80
SUERO FISIOLOGICO X1000ML                    2         30.00     20.00           60.00            40.00            20.00
VENDA ELASTICA 5X5                          34          3.00      1.40          102.00            47.60            54.40
VENDA YESO 4X5                               5         18.00      4.00           90.00            20.00            70.00
---------------------------------------------------------------------------------------------------------------------------------------
T O T A L E S :                                                              13,913.50         3,180.57        10,732.93
---------------------------------------------------------------------------------------------------------------------------------------