úZethQuark Versi¢n 7.0ú                                               31/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 31/05/2025        13:38:46
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
A200                                          999              1           CLA
ABOCAT #20                                     19              3           FAB
ABOCAT #22                                     36             10           AUD
ABOCAT #24                                    694             81           AUD
ACICLAV 500MG+125MG TAB                        99             23           ELI
ACIDO FUSIDICO 2% CREMA X15G                    3              2           ELI
AEROCAMARA (ADULTO)                            14              4           AUD
AEROCAMARA (PEDIATRICO)                        19              3           AUD
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           31              9           CLA
AFTOTEX SOLUCION SPRAY X30ML                    4              1           CLA
AGLUTINACIONES                               8666             28           AUD
AGUA ESTERIL PARA INYEC.AMP                   215             47           AUD
AGUJA #18                                    1866            431           AUD
AGUJA #22                                     223              7           FAB
AGUJA #23                                      32              4           AUD
ALBENDAZOL 200MG TAB                           44              4           CLA
ALERCHECK PLUS 10MG CAP                       205            104           AUD
ALERLIV 5MG TAB                                13              7           AUD
AMBROXOL 30MG/5ML ADULTO JRBE X120ML            3              1           CLA
AMIKACINA 500MG/2ML (IM/IV) AMP                95             62           AUD
ANEURIN 25 000 SOLUCION INYECTABLE              0              1           CLA
ASCORBIC PROMOCION                             79             51           AUD
ATORVASTATINA 20MG TAB BLSTX10                 38              4           ELI
AZIMUT 200MG/5ML SUSP.ORAL X30ML                3              6           AUD
AZITROMICINA 500MG TAB                         18             22           AUD
BACTAMOX 500MG TAB                            334             56           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                30             11           FAB
BENCILPENIC BENZATINICA 1200000 AMP            39              1           ELI
BENCILPENIC PROCAINICA 1000000 AMP            105             39           AUD
BETACORT DEPOT 5MG+2MG/1ML AMP                  5              1           ELI
BETAMETASONA 4MG/1ML AMP                       19              6           AUD
BISTURI #10                                    14              1           CLA
BK DIRECTO                                    886              7           AUD
BONACOXIB 90MG TAB                             50              5           ELI
BONAZOL 40MG TAB                              259            321           AUD
BROMELIN 0,88GR SUSP X100ML                    65             15           AUD
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           3              2           AUD
BRONCODEX COMPUESTO JRBE X120ML                 6              4           FAB
BRUCELLA 2MET                                 991              2           EFR
BRUCELLA AGLU TUBO                            992              2           EFR
BRUCELLA ROSA DE BENGALA                      988              2           EFR
CANULA BINASAL L (ADULTO)                      58              1           ELI
CAPTOPRIL 25MG TAB BLSTX10                     10              2           ELI
CARNET DE SANIDAD HUAURA                     9992              4           AUD
CEA(CANCER DE PULMON Y COLON)                 982              1           CLA
CEFMARK 500MG CAP                              36             24           CLA
CEFTRIAXONA 1G AMP                             89            110           AUD
CELEPOXX 200MG CAP                            330             52           AUD
CERT. MEDICO DOCUMENTO                         11              4           JES
CERT. MEDICO LLENADO                         9995              3           AUD
CIDOBEL 500MG CAP                             194             90           ELI
CLARITROX 500MG TAB                            30            150           AUD
CLAVUTRIM 250MG/5ML SUSP X60ML                  9              3           FAB
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML         4              1           ELI
CLINDAMICINA 600MG/4ML AMP                     31              1           FABúZethQuark Versi¢n 7.0ú                                               31/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 01/05/2025 AL 31/05/2025        13:38:57
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CLONAZEPAM 0.5MG TAB                          290             10           CLA
CLORFEDAN 10MG/1ML (IM/IV) AMP                 15              3           FAB
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             1              1           FAB
CLORFENAMINA 4MG BLSTX10                       10              1           CLA
CLORURO DE SODIO 0,9% X100ML                  871            202           AUD
CLORURO DE SODIO 0,9% X250ML                  167             30           AUD
CLOTRIALIV 2% CREMA X30G + APLICADOR            5              1           ELI
COLAG HP 420GR VAINILLA                         3              3           AUD
COLESTEROL                                    922              2           AUD
CONCENTRADOR ALQUILER X DIA                   930              4           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA     9996              3           ELI
CONSULTA MEDICINA GENERAL DR E.JAIMES         993              7           AUD
CONSULTA MEDICINA GENERAL DR M.DIAZ           980             20           AUD
CONSULTA MEDICINA GENERAL DR M.MOLINA         613            160           AUD
CONSULTA MEDICINA GENERAL DRA K.TORRES        978             11           JES
CONSULTA TRAUMATOLOGIA DR E.HERNANDEZ         971              3           AUD
COPROCULTIVO                                  963              2           CLA
COPROLOGICO FUNCIONAL                         725              3           AUD
CREATININA                                    989              8           AUD
CULTIVO DE SECRECION FARINGEA                 929              1           CLA
CULTIVO SEC HERIDA                            987              1           FAB
CULTIVO SECRECION OTICA                       993              1           CLA
CURACION                                      833              1           ELI
DEQUAZOL ORAL 250MG/5ML SUSP X120ML             2              1           CLA
DESAZONA 4MG TAB                              142              6           ELI
DEXAFLAM NF 2MG/5ML JRBE X100ML                 3              2           ELI
DEXCORTIL 4MG/2ML (IM/IV) AMP                 116             50           AUD
DEXIDE SR 1000 TAB                            131             10           ELI
DEXTROSA 33.3% SOL.INY 20ML                    12              1           EFR
DEXTROSA 5% X1000ML                            14              1           EFR
DICLOFIX 75MG/3ML (IM) AMP                    143             74           AUD
DIGESTASE 80MG TAB                             50             10           ELI
DIMENS 5MG/5ML JRBE X120ML                      3              3           FAB
DOLOL 100MG/1ML GOTAS X15ML                     4              2           AUD
DOLOL 160MG/5ML JRBE X60ML                      4              1           ELI
DR.FLU CAP.BLANDAS                             35             15           AUD
DRENAJE DE ABCESO 1CM                         999              1           CLA
DULERGINA 5MG/5ML JRBE X100ML                  17              4           AUD
ENALAPRIL 10MG TAB BLSTX10                     23              7           AUD
ENALAPRIL 20MG TAB BLSTX10                      1              1           CLA
ENDOVENOSO  EXTERNO                          9995              4           CLA
ENDOVENOSO DOMICILIO                         9995              6           FAB
ENDOVENOSO EXTERNO (TIENE VIA)               9997              2           CLA
ENDOVENOSO INTERNO                          44854            115           AUD
ENZIMATIK CAP                                  10             16           CLA
EPINEFRINA 1MG/ML AMP                          32              2           ELI
EQUIPO DE VENOCLISIS 20GOT/ML                 837             99           AUD
