úZethQuark Versi¢n 7.0ú                                               03/05/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 03/04/2025 AL 03/05/2025        18:10:16
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                     22              5           FAB
ABOCAT #22                                     43             14           ELI
ABOCAT #24                                    518             59           CLA
ACICLAV 500MG+125MG TAB                       136             21           EFR
ACIDO FUSIDICO 2% CREMA X15G                    5              1           MAR
ADENOVIRUS HECES                                9              1           FAB
AERO-SIM 80MG/1ML GOTAS X15ML FRESA             7              1           FAB
AFTOTEX SOLUCION SPRAY X30ML                    2              2           CLA
AGLUTINACIONES                               8689             34           ELI
AGUA ESTERIL PARA INYEC.AMP                   117             27           FAB
AGUJA #18                                     656            332           CLA
AGUJA #21                                     349              4           CLA
AGUJA #22                                     229              6           CLA
AGUJA #23                                      34             15           ELI
ALBENDAZOL 200MG TAB                           88             10           CLA
ALBUMINA SUERO                                994              1           CLA
ALERCHECK PLUS 10MG CAP                       181             90           CLA
ALERGIZINA 5MG/5ML JRBE X60ML                   0              3           MAR
AMIKACINA 500MG/2ML (IM/IV) AMP               109             70           FAB
ANEURIN 25 000 SOLUCION INYECTABLE              3              1           CLA
ASCORBIC PROMOCION                             20             52           ELI
ASO LATEX                                     975              1           CLA
ASSA 81MG TAB                                   0             20           CLA
ATORVASTATINA 20MG TAB BLSTX10                 38              2           CLA
AZITROMICINA 500MG TAB                         34              8           FAB
BANES 100MG/5ML SUSP.ORAL X60ML                 7              4           ELI
BATA DESCARTABLE                               28              1           CLA
BENCILPENIC BENZATINICA 1200000 AMP            30              2           CLA
BENCILPENIC PROCAINICA 1000000 AMP             73             26           JES
BETAMETASONA 4MG/1ML AMP                       18              6           FAB
BIONIS 15MG/5ML SOL.ORAL X100ML                 3              1           FAB
BISTURI #10                                    15              1           FAB
BK DIRECTO                                    893              2           CLA
BONACOXIB 90MG TAB                             55              7           FAB
BONAZOL 40MG TAB                              370            114           ELI
BROMELIN 0,88GR SUSP X100ML                    11             15           ELI
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           5              1           MAR
BRONCODEX COMPUESTO JRBE X120ML                 8              2           FAB
CANULA BINASAL L (ADULTO)                      59              1           FAB
CAPTOPRIL 25MG TAB BLSTX10                     10              1           FAB
CARNET DE SANIDAD HUAURA                     9994              3           ELI
CARNET DE SANIDAD SANTA MARIA                9998              1           CLA
