úZethQuark Versi¢n 7.0ú                                               26/06/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 01/06/2025 AL 26/06/2025        08:28:10
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #22                                     21              2           CLA
ABOCAT #24                                    507             63           ELI
ACICLAV 500MG+125MG TAB                        67             18           CLA
ACICLAV 875MG+125MG TAB                        66             24           CLA
ACIDO FOLICO                                  998              1           ELI
AEROCAMARA (ADULTO)                            15              4           ELI
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE           23              8           CLA
AGLUTINACIONES                               8642             23           ELI
AGUA ESTERIL PARA INYEC.AMP                   160             10           CLA
AGUJA #18                                    1559            305           ELI
AGUJA #23                                     139             35           CLA
ALERCHECK PLUS 10MG CAP                        87             88           ELI
ALPRAZOLAM 0.5MG TAB                          185             32           RFE
AMIKACINA 500MG/2ML (IM/IV) AMP                58             34           ELI
AMPICILINA 1G (IM/IV) AMP                      10              3           RFE
ANTIGENO HISOPADO COVID                        14              1           CLA
ASCORBIC PROMOCION                             10             60           ELI
ASSA 81MG TAB                                   0              8           FAB
ATORVASTATINA 20MG TAB BLSTX10                 30              6           ELI
ATOS 15MG/5ML JRBE X120ML                       4              1           CLA
AZITROMICINA 500MG TAB                         17             31           ELI
BANES 100MG/5ML SUSP.ORAL X60ML                28              2           CLA
BANES FORTE 200MG/5ML SUSP.ORAL X60ML           1              1           CLA
BATA DESCARTABLE                               21              6           CLA
BENCILPENIC PROCAINICA 1000000 AMP             67             10           CLA
BETACORT DEPOT 2 10MG+4MG/2ML AMP               5              1           CLA
BETAMETASONA 4MG/1ML AMP                       39             21           CLA
BISMOSAN SUSP X120ML                            1              1           CLA
BK DIRECTO                                    885              1           MCA
BONACOXIB 90MG TAB                             42              7           ELI
BONAZOL 40MG TAB                               40            126           ELI
BROMELIN 0,88GR SUSP X100ML                    49             11           CLA
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           6              2           ELI
CAMPA:A MEDICINA GENERAL                      994              4           CLA
CARNET DE SANIDAD SANTA MARIA                9997              1           CLA
CEFTRIAXONA 1G AMP                             92             96           ELI
CELEPOXX 200MG CAP                            204             26           CLA
CERT. MEDICO DOCUMENTO                          4              2           CLA
CERT. MEDICO LLENADO                         9994              1           ELI
CIDOBEL 500MG CAP                             164             30           CLA
CLACIDOMOX 250MG+62.5MG/5ML X60ML               2              1           CLA
CLARITROX 500MG TAB                           264             70           CLA
CLENBUVENT EXPECT JRBE X120ML                  23              2           CLA
CLOBULER 15MG/5ML JRBE X100ML                   3              2           CLA
CLORFEDAN 10MG/1ML (IM/IV) AMP                  8              2           CLA
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             8              1           CLA
CLORFENAMINA 4MG BLSTX10                        9              1           CLA
CLORURO DE SODIO 0,9% X100ML                  610            196           ELI
CLORURO DE SODIO 0,9% X250ML                  150             13           ELI
COLAG HP 420GR VAINILLA                         5              4           ELI
COLESTEROL                                    921              1           CLA
CONSULTA MEDICINA GENERAL DR E.JAIMES         982             10           CLA
CONSULTA MEDICINA GENERAL DR M.DIAZ           963             18           ELI
CONSULTA MEDICINA GENERAL DR M.MOLINA         465            133           ELI
COPROCULTIVO                                  962              1           ELIúZethQuark Versi¢n 7.0ú                                               26/06/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 01/06/2025 AL 26/06/2025        08:28:22
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
CORTISOL 8AM                                  944              1           CLA
CREATININA                                    973             15           CLA
CULTIVO SECRECION FARINGEA Y MIC Test         928              1           ELI
CULTIVO SECRECION VAGINAL Y MIC Test          944              8           CLA
CURACION MENOR                                490              1           CLA
DESAZONA 4MG TAB                               74             18           CLA
DEXCORTIL 4MG/2ML (IM/IV) AMP                  65             30           ELI
DEXIDE SR 1000 TAB                             71             60           CLA
DI-PROKET 150MG CAP                            92              3           CLA
DIARGEM 2MG TAB                                51              9           ELI
DICLOFIX 75MG/3ML (IM) AMP                     90             38           ELI
DIMENS 5MG/5ML JRBE X120ML                      6              1           CLA
DIPHA-SCBIX 5% CREMA X30G                       3              2           CLA
DOBESIUM 100MCG TAB                           130             60           CLA
DOLO NEUROBION FORTE TAB                       96              4           CLA
DOLOL 100MG/1ML GOTAS X15ML                     3              1           CLA
DULERGINA 5MG/5ML JRBE X100ML                  13              4           CLA
EKG PROMOCION                                9992              2           CLA
ELECTROLITOS                                  973              1           CLA
ENALAPRIL 10MG TAB BLSTX10                     20              3           ELI
ENDOVENOSO EXTERNO (TIENE VIA)               9996              1           CLA
ENDOVENOSO INTERNO                          44737            111           ELI
EQUIPO DE VENOCLISIS 20GOT/ML                 596             57           ELI
EQUIPO MICROGOTERO CON VOLUTROL 100ML           8              1           ELI
ESPECULO TALLA M                                4              6           CLA
FERROSIL 100MG/5ML AMP.BEBIBLE                  5              5           CLA
FLEX 4MG TAB                                  103             16           DEM
FLEX NF 2MG/1ML AMP (IM)                       31              8           ELI
FLOREA CAP                                    170             40           CLA
FLUIMEXINA 600MG SOB                           11            109           ELI
FOSLISELEN 3G SOB                              13              1           ELI
FOSTER INHALADOR                                0              1           CLA
