úZethQuark Versi¢n 7.0ú                                               08/07/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 08/06/2025 AL 08/07/2025        21:58:37
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                     12              2           ELI
ABOCAT #22                                     16              3           ELI
ABOCAT #24                                    383             74           ELI
ACICLAV 250MG+62.5MG/5ML SUSP X60ML             8              1           ELI
ACICLAV 500MG+125MG TAB                        67             18           CLA
ACICLAV 875MG+125MG TAB                         4             44           AUD
ACIDO FOLICO                                  998              1           ELI
ACIDO FUSIDICO 2% CREMA X15G                    2              1           ELI
AEROCAMARA (ADULTO)                            13              6           ELI
AFTOTEX SOLUCION SPRAY X30ML                    3              1           CLA
AGLUTINACIONES                               8628             36           ELI
AGUA ESTERIL PARA INYEC.AMP                   142             24           ELI
AGUJA #18                                    1313            356           ELI
AGUJA #21                                     299              3           AUD
AGUJA #22                                     122              2           AUD
AGUJA #23                                     134             38           AUD
ALERCHECK PLUS 10MG CAP                       182             93           ELI
ALPRAZOLAM 0.5MG TAB                          130             32           RFE
AMIKACINA 500MG/2ML (IM/IV) AMP                44             25           FAB
AMPICILINA 1G (IM/IV) AMP                      10              3           RFE
ASCORBIC PROMOCION                             46             72           ELI
ASSA 81MG TAB                                   0              8           FAB
ASSIS 400 SUSP X220ML                          33              5           ELI
ATORVASTATINA 20MG TAB BLSTX10                 30              2           ELI
AZITROMICINA 500MG TAB                         28             50           CLA
BANES 100MG/5ML SUSP.ORAL X60ML                27              3           CLA
BANES FORTE 200MG/5ML SUSP.ORAL X60ML           0              1           ELI
BATA DESCARTABLE                               21              6           CLA
BENCILPENIC PROCAINICA 1000000 AMP             44             20           ELI
BETACORT DEPOT 5MG+2MG/1ML AMP                  3              1           ELI
BETAHISTINA 24MG TAB                           14             30           ELI
BETAMETASONA 4MG/1ML AMP                       29             28           ELI
BISMOSAN SUSP X120ML                            4              1           CLA
BK DIRECTO                                    884              1           CLA
BOLSA COLECTORA (ADULTO)                       14              1           ELI
BONAZOL 40MG TAB                              135            255           ELI
BROMELIN 0,88GR SUSP X100ML                    36             14           AUD
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           6              2           ELI
CAMPA:A MEDICINA GENERAL                      992              6           ELI
CAPTOPRIL 25MG TAB BLSTX10                      9              1           ELI
CARNET DE SANIDAD SANTA MARIA                9997              1           CLA
CEFTRIAXONA 1G AMP                            109            123           ELI
CELEPOXX 200MG CAP                            227             43           ELI
CERT. MEDICO DOCUMENTO                         15              2           ELI
CERT. MEDICO LLENADO                         9993              2           ELI
CIPROFIBRATO 100MG CAP X100                    30             20           ELI
CIPROFLOXACINO 500MG TAB BLSTX10               33              1           ELI
CLARITROX 500MG TAB                            94            150           ELI
CLENBUVENT EXPECT JRBE X120ML                  21              3           AUD
CLOBULER 15MG/5ML JRBE X100ML                   3              2           CLA
CLORFEDAN 10MG/1ML (IM/IV) AMP                  8              2           CLA
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             8              1           CLA
CLORFENAMINA 4MG BLSTX10                        9              1           CLA
CLORURO DE SODIO 0,9% X100ML                  291            232           ELI
CLORURO DE SODIO 0,9% X250ML                  143             14           ELIúZethQuark Versi¢n 7.0ú                                               08/07/2025
ELAM MEDICAL     PRODUCTOS VENDIDOS DEL 08/06/2025 AL 08/07/2025        21:59:00
PRT123()                                                              Pag.-    2
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
COLAG HP 420GR VAINILLA                         1              6           ELI
COLESTEROL                                    918              4           ELI
CONSULTA MEDICINA G. DOMICILIO DR MOLINA     9995              1           ELI
CONSULTA MEDICINA GENERAL DR E.JAIMES         982              6           CLA
CONSULTA MEDICINA GENERAL DR M.DIAZ           959             14           AUD
CONSULTA MEDICINA GENERAL DR M.MOLINA         374            189           ELI
COPROCULTIVO                                  962              1           ELI
COPROLOGICO FUNCIONAL                         724              1           CLA
CORTISOL 8AM                                  944              1           CLA
