úZethQuark Versi¢n 7.0ú                                               22/03/2025
POL.LOS ANGELES  PRODUCTOS VENDIDOS DEL 22/02/2025 AL 22/03/2025        10:19:43
PRT123()                                                              Pag.-    1
--------------------------------------------------------------------------------
         DESCRIPCION DEL PRODUCTO            STOCK           VENTA        RESP.
--------------------------------------------------------------------------------
ABOCAT #20                                     27              3           EFR
ABOCAT #22                                     59              7           ELI
ABOCAT #24                                    299            129           ELI
ACICLAV 250MG+62.5MG/5ML SUSP X60ML             0              1           EFR
ACICLAV 500MG+125MG TAB                       171             14           ELI
ACICLAV 875MG+125MG TAB                        65             20           EFR
ACICLOVIR 400MG TAB                            85             30           ELI
ACICLOVIR 5% CREMA 5GR                          1              1           ELI
ACIDO FOLICO 0.5MG TAB BLSTX10                  4              2           ELI
ACIDO FUSIDICO 2% CREMA X15G                    6              4           ELI
AEROCAMARA (ADULTO)                            13              1           ELI
AEROCAMARA (PEDIATRICO)                        12              1           ELI
AFP(CANCER DE HIGADO)                         985              1           ELI
AFTOTEX SOLUCION SPRAY X30ML                    0              1           ELI
AGLUTINACIONES                               8721             45           ELI
AGUA ESTERIL PARA INYEC.AMP                   121             34           ELI
AGUJA #18                                     609            454           ELI
AGUJA #18 X100UND                               0              0u2         YES
AGUJA #23                                      59              1           ELI
AGUJA #25                                     837              1           ELI
ALERCHECK PLUS 10MG CAP                       116             43           EFR
AMIKACINA 500MG/2ML (IM/IV) AMP                51             44           ELI
AMILASA                                       936              1           ELI
ANA ANTICUERPOS ANTINUCLEARES                 977              1           ELI
ASCORBIC PROMOCION                             56             78           ELI
ASO LATEX                                     976              1           ELI
ATORVASTATINA 20MG TAB BLSTX10                 12             38           ELI
AZITROMICINA 500MG TAB                         85              5           ELI
BATA DESCARTABLE                               30              5           ELI
BENCILPENIC PROCAINICA 1000000 AMP             85             30           ELI
BETAMETASONA 4MG/1ML AMP                       19              7           ELI
BISTURI #10                                    16              6           EFR
BK DIRECTO                                    894              5           ELI
BROMELIN 0,88GR SUSP X100ML                    36              4           ELI
BROMURO DE IPRATROPIO 20MCG/D AEROSOL           4              1           ELI
BRONCOXAN DILAT JRBE X120ML                     6              1           EFR
BRUCELLA 2MET                                 992              1           ELI
BRUCELLA AGLU TUBO                            993              2           ELI
BRUCELLA ROSA DE BENGALA                      989              2           ELI
CALCIO ORINA 24HRS                            997              1           ELI
CALCITONINA                                   994              1           ELI
CAMPA:A MEDICINA GENERAL                      999              1           ELI
CAPTOPRIL 25MG TAB BLSTX10                     22              1           EFR
CARNET DE SANIDAD SANTA MARIA                   5              1           ELI
CEA(ANTIGENO CARCINOEMBRIONARIO)              994              1           ELI
CEA(CANCER DE PULMON Y COLON)                 983              1           ELI
CEFTRIAXONA 1G AMP                            130            134           ELI
CELECOXIB 200MG CAP BLSTX10                     9             12           ELI
CERT. MEDICO LLENADO                           48              2           ELI
CIPROFLOXACINO 500MG TAB BLSTX10               13              3           ELI
CLARITROX 500MG TAB                           350            174           ELI
CLINDA C 300MG CAP                             54              6           EFR
CLONAZEPAM 0.5MG TAB                           55             55           ELI
CLORFEDAN 10MG/1ML (IM/IV) AMP                 32              2           ELI
CLORFENAMINA 2MG/5ML SOL.ORAL X60ML             6              1           EFRúZethQuark Versi¢n 7.0ú                                               22/03/2025
