úZethQuark Versi¢n 7.0ú                                                                                                      17/06/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              08:05:48
PRT282()                                                                                                                     Pag.-    1
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
ACICLAV 500MG+125MG TAB                     96          2.50      0.93          240.00            89.28           150.72
ACICLAV 875MG+125MG TAB                     18          3.00      1.89           54.00            34.02            19.98
ACICLOVIR 400MG TAB                        133          1.00      0.36          133.00            47.88            85.12
ACIDO FOLICO 0.5MG TAB BLSTX10               4          3.00      0.60           12.00             2.40             9.60
ACIDO FUSIDICO 2% CREMA X15G                 3         20.00     14.00           60.00            42.00            18.00
AERO-SIM 80MG/1ML GOTAS X15ML FRESA          8         20.00      8.70          160.00            69.60            90.40
AFLORAC 2000MILLONES/5ML AMP.BEBIBLE        23          3.00      1.29           69.00            29.67            39.33
AFTOTEX SOLUCION SPRAY X30ML                 4         40.00     23.00          160.00            92.00            68.00
AGUA ESTERIL PARA INYEC.AMP                137          1.00      0.27          137.00            36.99           100.01
AIRUM JAT SOL.ORAL X120ML                    2         80.00     44.50          160.00            89.00            71.00
ALBENDAZOL 200MG TAB                        44          1.00      0.23           44.00            10.12            33.88
ALERCHECK PLUS 10MG CAP                    147          1.50      0.25          220.50            36.75           183.75
ALERGIZINA D TAB                            32          2.50      1.59           80.00            50.88            29.12
ALERLIV 5MG TAB                             13          2.00      0.22           26.00             2.86            23.14
ALPRAZOLAM 0.5MG TAB                       300          0.30      0.06           90.00            18.00            72.00
AMBROXOL 30MG/5ML ADULTO JRBE X120ML         3         15.00      3.90           45.00            11.70            33.30
AMIKACINA 500MG/2ML (IM/IV) AMP             64          5.70      1.55          364.80            99.20           265.60
AMPICILINA 1G (IM/IV) AMP                    9          4.00      1.69           36.00            15.21            20.79
ASCORBIC PROMOCION                          37         80.00     25.00        2,960.00           925.00         2,035.00
ASSA 81MG TAB                                8          1.00      0.75            8.00             6.00             2.00
ATORVASTATINA 20MG TAB BLSTX10              36          3.00      1.10          108.00            39.60            68.40
ATOS 15MG/5ML JRBE X120ML                    5         15.00      8.70           75.00            43.50            31.50
ATROPINA 0.50MG/1ML (IM/IV) AMP             10          4.00      1.47           40.00            14.70            25.30
ATROPINA 1MG/1ML (IM/IV) AMP                 1          4.00      2.40            4.00             2.40             1.60
AZIMUT 200MG/5ML SUSP.ORAL X30ML             2         35.00     22.72           70.00            45.44            24.56
AZITROMICINA 500MG TAB                       1          3.00      0.82            3.00             0.82             2.18
B12 ANKERMANN 1000ug TAB                    56          1.30      0.01           72.80             0.56            72.24
BACTAMOX 500MG TAB                         334          1.30      0.27          434.20            90.18           344.02
BAGOLIFE CAP                                30          3.80      2.50          114.00            75.00            39.00
BANES 100MG/5ML SUSP.ORAL X60ML             28         15.00      4.91          420.00           137.48           282.52
BANES FORTE 200MG/5ML SUSP.ORAL X60ML        1         25.00     11.00           25.00            11.00            14.00
BENCILPENIC BENZATINICA 1200000 AMP         39          8.00      1.50          312.00            58.50           253.50
BENCILPENIC PROCAINICA 1000000 AMP          98          8.50      1.63          833.00           159.74           673.26
BETACORT DEPOT 2 10MG+4MG/2ML AMP            5         37.00     26.00          185.00           130.00            55.00
BETACORT DEPOT 5MG+2MG/1ML AMP               4         30.00     19.00          120.00            76.00            44.00
BETAHISTINA 24MG TAB                        44          3.00      1.25          132.00            55.00            77.00
BETAMETASONA 4MG/1ML AMP                    14         14.00      2.79          196.00            39.06           156.94
BIONIS 15MG/5ML SOL.ORAL X100ML              4         36.00     26.40          144.00           105.60            38.40
BISMOSAN SUSP X120ML                         2         14.00      7.50           28.00            15.00            13.00
BONACOXIB 90MG TAB                          43          4.00      1.14          172.00            49.02           122.98
BONAZOL 40MG TAB                           183          2.50      0.53          457.50            96.99           360.51
BROMELIN 0,88GR SUSP X100ML                 54         35.00     18.50        1,890.00           999.00           891.00
BROMURO DE IPRATROPIO 20MCG/D AEROSOL        2         40.00     14.00           80.00            28.00            52.00
BRONCODEX COMPUESTO JRBE X120ML              3         23.00     12.50           69.00            37.50            31.50
C-FLOX 500MG TAB                           100          1.40      0.20          140.00            20.00           120.00
CADELIUS 600MG/1000UL TAB X30                2         85.00     60.63          170.00           121.26            48.74
CAPTOPRIL 25MG TAB BLSTX10                  10          2.00      0.47           20.00             4.70            15.30
CEFALEXINA 250MG/5ML SUSPX60ML               2         11.00      7.99           22.00            15.98             6.02
CEFMARK 500MG CAP                          136          1.50      0.75          204.00           102.00           102.00
CEFTRIAXONA 1G AMP                          13          8.00      1.35          104.00            17.55            86.45
CELEPOXX 200MG CAP                         250          1.00      0.35          250.00            87.50           162.50
CIDOBEL 500MG CAP                          164          1.50      0.64          246.00           104.96           141.04
CIFLOXDAN 200MG/100ML AMP X100ML             3         13.50      3.40           40.50            10.20            30.30
CIPROFLOXACINO 500MG TAB BLSTX10             4          5.00      1.85           20.00             7.40            12.60
CLACIDOMOX 250MG+62.5MG/5ML X60ML            3         25.00      7.71           75.00            23.13            51.87úZethQuark Versi¢n 7.0ú                                                                                                      17/06/2025
POL.LOS ANGELES                        REPORTE INVENTARIO VALORIZADO X LINEA (FARMACOS) MOSTRADOR                              08:05:49
PRT282()                                                                                                                     Pag.-    2
---------------------------------------------------------------------------------------------------------------------------------------
            DESCRIPCION                  STOCK            PV     ULTCOS       TOTAL PV      TOTAL ULTCOS        UTILIDAD
---------------------------------------------------------------------------------------------------------------------------------------
CLARIMED 250MG/5ML SUSP X60ML                6         70.00     41.30          420.00           247.80           172.20
CLARITROX 500MG TAB                        280          2.50      1.50          700.00           420.00           280.00
CLAVULAB 875MG+125MG TAB                    98          3.00      1.79          294.00           175.42           118.58
CLAVUMOX 600 SUSP X100ML                     1         90.00     54.60           90.00            54.60            35.40
CLAVUTRIM 250MG/5ML SUSP X60ML               9         14.90      5.00          134.10            45.00            89.10
CLAVUTRIM CL PPS 250MG+62.5MG/5ML X60ML      1         30.00     10.50           30.00            10.50            19.50
CLENBUVENT EXPECT JRBE X120ML               23         30.00     21.83          690.00           502.09           187.91
CLENBUVENT GOTAS X15ML                       1         22.00     16.00           22.00            16.00             6.00
CLERILAX 250MG TAB                          10          3.50      2.19           35.00            21.90            13.10
CLINDA C 300MG CAP                          46          2.50      0.90          115.00            41.40            73.60
CLINDAMICINA 600MG/4ML AMP                  31          6.00      3.40          186.00           105.40            80.60
CLOBULER 15MG/5ML JRBE X100ML                3         14.00      6.90           42.00            20.70            21.30
CLOBULER DUO FORTE JRBE ADULTO X120ML        1         25.00     10.90           25.00            10.90            14.10
CLONAZEPAM 0.5MG TAB                       290          0.80      0.14          232.00            40.60           191.40
CLORFEDAN 10MG/1ML (IM/IV) AMP              13          5.60      0.65           72.80             8.45            64.35
CLORFENAMINA 4MG BLSTX10                     9          2.00      0.32           18.00             2.88            15.12
CLORURO DE SODIO 0,9% X100ML               621         10.00      1.20        6,210.00           745.20         5,464.80
CLORURO DE SODIO 0,9% X250ML               151         15.00      5.80        2,265.00           875.80         1,389.20
CLORURO DE SODIO 20% AMP                     9          2.00      1.00           18.00             9.00             9.00
CLOTRIALIV 2% CREMA X30G + APLICADOR         5         30.00      8.90          150.00            44.50           105.50
CONMEL 1000/1G/2MLSOLINYECT/IV              30          4.00      0.01          120.00             0.30           119.70
CORIFAN 1MG/1ML GOTAS X20ML                  2         30.00     21.00           60.00            42.00            18.00
CORTIFLEX 50MG/5ML AMP                       1         50.00      0.01           50.00             0.01            49.99
CYMAPRAM 10MG TAB                           60          3.00      0.97          180.00            58.20           121.80
